BEGIN HEAD
plot                                            ssssssssssss
Laserpitium latifolium ssp. latifolium          r..1........
Ligustrum vulgare                               +1.21++211..
Lilium bulbiferum ssp. bulbiferum               ++..........
Lonicera xylosteum                              ++.++1+1++..
Melica nutans s.str.                            11111..111..
Molinia caerulea agg.                           2131+13++2..
Origanum vulgare ssp. vulgare                   +.+...1.++++
Peucedanum oreoselinum                          1r1.+1++11.+
Pimpinella major var. major                     ++.+.+...+..
Poa nemoralis                                   +.......+1..
Polygonatum odoratum                            ++...+......
Prunus spinosa                                  +......+....
Quercus robur                                   ++++..++++++
Ranunculus nemorosus                            +..+...+.+..
Rhamnus cathartica                              ++....+1+...
Rubus fruticosus agg.                           +1+..++1....
Solidago virgaurea ssp. virgaurea               +++.........
Tilia cordata                                   1++..+++1+..
Viburnum lantana                                +++++.+11+..
Vicia cracca s.str.                             +.+..++..+..
Achillea millefolium agg.                       .+.....+++++
Ajuga reptans                                   .+.+1.11....
Corylus avellana                                .+++...+++..
Petasites paradoxus                             .+1.+.1++1r.
Phalaris arundinacea                            .+.+.2......
Rubus caesius                                   .211.211+..+
Saponaria officinalis                           .+..+....+..
Solidago canadensis                             .+..+3+..+..
Viburnum opulus                                 .+.+.+......
Acer pseudoplatanus                             ..+......1..
Arabidopsis arenosa                             ..+....+.++.
Arrhenatherum elatius                           ..1..+.1.+.+
Astragalus glycyphyllos                         ..+..+++++..
Medicago sativa s.lat.                          ..+...+.....
Salvia glutinosa                                ..+.+..++...
Securigera varia                                ..+......1..
Silene vulgaris ssp. vulgaris                   ..+...++r++.
Taraxacum sect. Ruderalia                       ..+..+......
Teucrium chamaedrys ssp. chamaedrys             ..1.....++..
Veronica chamaedrys ssp. chamaedrys             ..+.........
Aconitum napellus ssp. napellus                 ...11.......
Colchicum autumnale                             ...r1.......
Dactylis glomerata ssp. glomerata               ...++..+++..
Lathyrus vernus                                 ...+........
Listera ovata                                   ...++.......
Lysimachia vulgaris                             ...+.+......
Moehringia trinervia                            ...++..+.+..
Paris quadrifolia                               ...++.......
Prunus avium s.lat.                             ...++..+....
Pulmonaria officinalis s.str.                   ...+...1....
Rosa arvensis                                   ...+........
Silene dioica                                   ...+........
Stachys sylvatica                               ...++..+....
Symphytum tuberosum s.lat.                      ...111+1....
Viola collina                                   ...++..+..++
Viola mirabilis                                 ...+........
Allium oleraceum                                ....r.......
Alliaria petiolata                              ....+..+....
Arabis nemorensis                               ....r.......
Asarum europaeum ssp. europaeum                 ....1..1+...
Campanula trachelium                            ....+....+..
Carex muricata agg.                             ....+.......
Clematis recta                                  ....+.......
Geranium robertianum s.str.                     ....+.......
Hepatica nobilis                                ....1.......
Hieracium sp.                                   ....+.+...2+
Lamium maculatum                                ....+..+....
Lilium martagon                                 ....+.......
Melampyrum nemorosum s.str.                     ....+++..+..
Poa pratensis                                   ....++.+....
Populus tremula                                 ....++...+1.
Sanguisorba officinalis                         ....++++.+..
Scrophularia nodosa                             ....r.......
Urtica dioica ssp. dioica                       ....+3.+....
Valeriana officinalis ssp. sambucifolia         ....r+......
Calystegia sepium s.str.                        .....1......
Cirsium arvense                                 .....+.+.+..
Eupatorium cannabinum                           .....++.....
Frangula alnus                                  .....+..+.+.
Galeopsis sp.                                   .....+......
Galium aparine s.str.                           .....1.+....
Poa trivialis                                   .....+......
Sambucus nigra                                  .....1......
Filipendula ulmaria                             ......+.....
Hippocrepis comosa                              ......+...+1
Lathyrus pratensis ssp. pratensis               ......+.....
Prunella vulgaris                               ......+.....
Scabiosa columbaria s.str.                      ......r..++1
Trifolium medium ssp. medium                    ......1.....
Verbascum lychnitis                             .......r.+1+
Viola riviniana                                 ........+...
Anthyllis vulneraria s.lat.                     .........r+1
Arabis sagittata                                .........+.r
Artemisia verlotiorum                           .........+..
Barbarea vulgaris s.lat.                        .........+..
Bromus erectus                                  .........++.
Buphthalmum salicifolium                        .........+22
Carex caryophyllea                              .........+..
Centaurea jacea ssp. jacea                      .........+..
Centaurea scabiosa ssp. scabiosa                .........++.
Cerastium arvense s.lat.                        .........+..
Epipactis helleborine s.lat.                    .........+..
Festuca pallens                                 .........+++
Festuca rubra                                   .........+..
Geum urbanum                                    .........+..
Hippophaë rhamnoides s.lat.                     .........+..
Lotus corniculatus s.str.                       .........+++
Medicago falcata                                .........+..
Medicago falcata × varia                        .........1..
Sanguisorba minor ssp. minor                    .........+++
Viola hirta                                     .........+..
Arabis hirsuta s.str.                           ..........2.
Arenaria serpyllifolia s.str.                   ..........+.
Asperula cynanchica                             ..........1.
Daucus carota ssp. carota                       ..........++
Echium vulgare ssp. vulgare                     ..........+.
Festuca stricta ssp. sulcata                    ..........1.
Galium pumilum                                  ..........+.
Helianthemum nummularium ssp. nummularium       ..........1.
Koeleria pyramidata var. pyramidata             ..........++
Leontodon hispidus ssp. hispidus                ..........11
Leontodon incanus                               ..........+1
Pinus sylvestris                                ..........+.
Plantago lanceolata                             ..........++
Polygala amarella                               ..........++
Potentilla heptaphylla                          ..........2+
Rhinanthus minor                                ..........21
Silene nutans ssp. nutans                       ..........+2
Thesium alpinum                                 ..........+.
Thymus praecox ssp. praecox                     ..........12
Helianthemum nummularium s.lat.                 ...........+
Hieracium piloselloides s.str.                  ...........+
Medicago lupulina                               ...........+
END TABLE
