BEGIN HEAD
plot                                     000000000111111111122
Lathyrus niger                           ........+.+..........
Acer campestre                           ........++r+1.+.1+rr.
Rosa arvensis                            ........+...+.+.+.r..
Arum cylindraceum                        ........r............
Ulmus minor                              .........r..+....r...
Viola reichenbachiana                    .........r+.+........
Cardamine impatiens                      .........2...+1..+...
Dentaria enneaphyllos                    .........r...........
Galium odoratum                          .........1.12...22+r.
Galium sylvaticum                        .........++...+......
Hypericum hirsutum                       .........r...........
Lathyrus vernus                          .........+++r....+...
Poa nemoralis                            .........+....+......
Polygonatum multiflorum                  .........rr.1........
Primula veris                            .........r+...r......
Prunus avium                             .........rr.....r....
Campanula trachelium                     ..........r..........
Carex pilosa                             ..........2.2........
Ajuga reptans                            ..........r.......r..
Daphne laureola                          ..........+...+++.r..
Dentaria bulbifera                       ..........r..........
Douinia sp.                              ..........+..........
Fragaria moschata                        ..........12..1......
Hippocrepis emerus                       ..........r..........
Mercurialis perennis                     ..........r..........
Acer platanoides                         ..........r.r........
Quercus cerris                           ..........r..........
Rubus caesius                            ..........r..........
Crataegus monogyna                       ...........r.....r...
Glechoma hirsuta                         ...........2.....22..
Abies alba                               ............r...r....
Vicia dumetorum                          ............r........
Wulfenia sp.                             ............r........
Lilium martagon                          ............+........
Quercus petraea ssp. petraea             ............+........
Rubus fruticosus agg.                    ............+........
Rubus idaeus                             ............2........
Sanicula europaea                        ............+...+....
Moehringia trinervia                     .............r.......
Hieracium glaucinum                      ..............r.r.r..
Tilia cordata                            ................r.r..
Viola alba                               ................r....
Fagus sylvatica                          ................2....
Corylus avellana                         .................+...
Melittis melissophyllum                  .................+...
Digitalis grandiflora                    ..................+..
Lamium maculatum                         ..................++.
Papaver rhoeas                           ..................rr.
Dictamnus albus                          ....................1
Fallopia dumetorum                       ....................2
Geranium sanguineum                      ....................r
Poa angustifolia                         ....................+
Quercus pubescens s.str.                 ....................+
Cornus mas                            sl .....22.+..12.12...22
Crataegus laevigata                      .....2....2....++....
Sambucus nigra                           ......+......1.......
Acer campestre                           .......2..2.2........
Carpinus betulus                         ........+.2.2..2.2.2.
Sorbus torminalis                        ..........+..........
Tilia cordata                            ..........2..........
Rosa canina s.lat. (= agg.)              ..........2..........
Crataegus monogyna                       ...........+.........
Fagus sylvatica                          ............2...2....
Prunus avium                             ............2........
Quercus petraea ssp. petraea             ................1....
Quercus pubescens s.str.                 ....................3
Rhamnus cathartica                       ....................2
Fraxinus excelsior                   tl1 .....332.....3.2...2.
Tilia cordata                            ......2...........2..
Ulmus glabra                             .......2.............
Carpinus betulus                         .......22.2...22..32.
Acer campestre                           .......2.....2.1...2.
Pinus nigra                              ........2......+.....
Quercus cerris                           ........2.3..22...2..
Ulmus minor                              ..............2......
Quercus petraea ssp. petraea             ..................22.
Prunus avium                             ...................2.
Sorbus aria                          tl2 .........2.......2...
Carpinus betulus                         .........3.222..22...
Prunus avium                             .........2...........
Quercus cerris                           .........2.2....22...
Quercus petraea ssp. petraea             ...........23...3....
Abies alba                               ............2........
Fagus sylvatica                          ............2...2....
END TABLE
