BEGIN HEAD
plot                                         ffffffffffffffffffffffffffff
Potentilla erecta                            .+..+.1...............+.+..1
Salvia glutinosa                             .+..+++.+.......++..+...+...
Sesleria caerulea s.str.                     .+..3.211.............214..1
Sorbus aucuparia ssp. aucuparia              .+.+...+.........+...+......
Veronica chamaedrys ssp. chamaedrys          .+..........................
Vincetoxicum hirundinaria                    .+..++212......+..+1+++22++1
Asplenium viride                             ..+.....+...................
Cardamine trifolia                           ..1.........+++...+.........
Carex digitata                               ..++....+.......++...+..+...
Cyclamen purpurascens                        ..+.........+++...++++.+1...
Hepatica nobilis                             ..+...+.+++.+++++++++++++...
Phyteuma spicatum ssp. spicatum              ..1.++...+++..+++1..++...+..
Prenanthes purpurea                          ..+.++.++++..+.+.+++++++.+.+
Aconitum variegatum ssp. nasutum             ....+.+++..........+......+.
Carex flava var. flava                       ....+......................+
Dryopteris carthusiana s.str.                ....+..............+........
Erica carnea                                 ....+.................1.1...
Eupatorium cannabinum                        ....+.+.+................111
Galium truniacum                             ....+.+................+....
Gentiana asclepiadea                         ....+.......................
Lathyrus pratensis ssp. pratensis            ....+......................+
Linum catharticum                            ....+.......................
Molinia caerulea s.str.                      ....1.1...............2.1..1
Polygala amarella                            ....+.......................
Polygala chamaebuxus                         ....+..+...............++...
Ranunculus nemorosus                         ....+...................+..+
Senecio ovatus ssp. ovatus                   ....+...+....+......+1......
Sorbus aria s.str.                           ....+.......................
Pteridium aquilinum                          .....++.....................
Anthericum ramosum                           ......+...............+++...
Aquilegia atrata                             ......+...............+++..+
Arabis sagittata                             ......+.....................
Asplenium ruta-muraria                       ......+................++.r.
Buphthalmum salicifolium                     ......1.+.............11+..1
Carex humilis                                ......443.............352...
Carex mucronata                              ......+.+..............1+...
Carlina acaulis ssp. acaulis                 ......+...............+.....
Clinopodium alpinum ssp. alpinum             ......+.+.............+++...
Galium anisophyllon                          ......++..............+++...
Hieracium bifidum                            ......+.....................
Medicago lupulina                            ......+.....................
Phyteuma orbiculare s.str.                   ......1++.............+++.+.
Pimpinella major var. major                  ......+.................+...
Fragaria moschata                            .......+....................
Gentianopsis ciliata                         .......+....................
Vaccinium myrtillus                          .......+.........+......+...
Campanula trachelium                         ........+...........+.......
Cephalanthera longifolia                     ........+...................
Cyanus montanus ssp. montanus                ........+...................
Daphne mezereum                              ........+.......+.+.+.+.....
Euphorbia amygdaloides ssp. amygdaloides     ........+...................
Knautia arvensis ssp. arvensis               ........+...................
Platanthera bifolia                          ........+...................
Scabiosa lucida ssp. lucida                  ........+...................
Thesium alpinum                              ........+.............+++..+
Larix decidua                                ..........r..............2.2
Cardamine enneaphyllos                       ...........+++......++.+..1.
Epipactis helleborine s.lat.                 ...........+.......+.r.+....
Asplenium trichomanes s.lat.                 ............+...............
Dryopteris borreri                           ............+...............
Anemone nemorosa                             ..............+.............
Thelypteris limbosperma                      ..............r.............
Actaea spicata                               ...............+............
Sanicula europaea                            ...............+....+.......
Convallaria majalis ssp. majalis             ................+......++...
Symphytum tuberosum s.lat.                   ................+...........
Carex montana                                .................++.........
Knautia maxima ssp. maxima                   ...................r....++1.
Neottia nidus-avis                           ....................r+......
Amelanchier ovalis                           ......................+.....
Lonicera alpigena                            ......................++....
Valeriana saxatilis                          ......................+.....
Galium lucidum                               .......................+....
Leontodon incanus                            .......................++...
Melampyrum sylvaticum s.str.                 .......................+....
Potentilla caulescens ssp. caulescens        .......................++...
Rhamnus cathartica                           .......................++...
Valeriana montana                            .......................+....
Hippocrepis emerus ssp. emerus               ........................+...
Kernera saxatilis                            ........................+...
Lotus corniculatus s.str.                    ........................+++1
Rhinanthus glacialis                         ........................+...
Thymus praecox s.lat.                        ........................+...
Aegopodium podagraria                        .........................+..
Agrostis capillaris                          .........................+..
Alnus glutinosa                              .........................1.2
Alnus incana                                 .........................1.1
Arrhenatherum elatius                        .........................+.2
Calamagrostis epigejos                       .........................1..
Cirsium vulgare                              .........................+++
Dactylis glomerata ssp. glomerata            .........................212
Epilobium montanum                           .........................+.+
Epilobium parviflorum                        .........................++1
Festuca pratensis s.str.                     .........................2+2
Festuca rubra                                .........................335
Galeopsis tetrahit s.str.                    .........................+1.
Lythrum salicaria                            .........................+..
Phleum pratense s.str.                       .........................1.2
Poa angustifolia                             .........................212
Poa pratensis                                .........................212
Salix appendiculata s.str.                   .........................+..
Solidago canadensis                          .........................1..
Taraxacum sect. Ruderalia                    .........................+++
Verbascum speciosum                          .........................++.
Vicia cracca s.str.                          .........................1++
Epilobium ciliatum ssp. ciliatum             ..........................1+
Erigeron annuus s.lat.                       ..........................1.
Hieracium murorum                            ..........................+.
Impatiens noli-tangere                       ..........................+.
Polygonatum odoratum                         ..........................+.
Silene noctiflora                            ..........................1.
Sonchus asper ssp. asper                     ..........................++
Trifolium pratense ssp. pratense             ..........................+1
Ulmus glabra                                 ..........................+.
Urtica dioica ssp. dioica                    ..........................1.
Crepis biennis                               ...........................+
Lolium multiflorum                           ...........................+
Lolium perenne                               ...........................2
Onobrychis viciifolia s.str.                 ...........................+
Plantago lanceolata                          ...........................+
Trifolium repens ssp. repens                 ...........................1
Tussilago farfara                            ...........................1
END TABLE
