BEGIN HEAD
plot                                         ffffffffffffffffffffffffffff
Fraxinus excelsior                           .+++++.+++.+++1+1++++++.++++
Polystichum aculeatum s.str.                 .++.........+...............
Potentilla erecta                            .+..+.1...............+.+..1
Sesleria caerulea s.str.                     .+..3.211.............214..1
Lactuca muralis                              .+..+..........+.++.++....+.
Gymnocarpium robertianum                     .+....+.+...................
Epipactis atrorubens                         .+r.....+.............++..r.
Phyteuma spicatum ssp. spicatum              ..1.++...+++..+++1..++...+..
Cardamine trifolia                           ..1.........+++...+.........
Cyclamen purpurascens                        ..+.........+++...++++.+1...
Hepatica nobilis                             ..+...+.+++.+++++++++++++...
Carex digitata                               ..++....+.......++...+..+...
Asplenium viride                             ..+.....+...................
Prenanthes purpurea                          ..+.++.++++..+.+.+++++++.+.+
Aconitum variegatum ssp. nasutum             ....+.+++..........+......+.
Linum catharticum                            ....+.......................
Ranunculus nemorosus                         ....+...................+..+
Galium truniacum                             ....+.+................+....
Carex flava var. flava                       ....+......................+
Eupatorium cannabinum                        ....+.+.+................111
Polygala chamaebuxus                         ....+..+...............++...
Sorbus aria s.str.                           ....+.......................
Gentiana asclepiadea                         ....+.......................
Molinia caerulea s.str.                      ....1.1...............2.1..1
Dryopteris carthusiana s.str.                ....+..............+........
Senecio ovatus ssp. ovatus                   ....+...+....+......+1......
Erica carnea                                 ....+.................1.1...
Lathyrus pratensis ssp. pratensis            ....+......................+
Polygala amarella                            ....+.......................
Pteridium aquilinum                          .....++.....................
Buphthalmum salicifolium                     ......1.+.............11+..1
Carex humilis                                ......443.............352...
Anthericum ramosum                           ......+...............+++...
Aquilegia atrata                             ......+...............+++..+
Carlina acaulis ssp. acaulis                 ......+...............+.....
Phyteuma orbiculare s.str.                   ......1++.............+++.+.
Pimpinella major var. major                  ......+.................+...
Clinopodium alpinum ssp. alpinum             ......+.+.............+++...
Galium anisophyllon                          ......++..............+++...
Carex mucronata                              ......+.+..............1+...
Asplenium ruta-muraria                       ......+................++.r.
Medicago lupulina                            ......+.....................
Hieracium bifidum                            ......+.....................
Arabis sagittata                             ......+.....................
Gentianopsis ciliata                         .......+....................
Vaccinium myrtillus                          .......+.........+......+...
Fragaria moschata                            .......+....................
Scabiosa lucida ssp. lucida                  ........+...................
Thesium alpinum                              ........+.............+++..+
Platanthera bifolia                          ........+...................
Daphne mezereum                              ........+.......+.+.+.+.....
Campanula trachelium                         ........+...........+.......
Cephalanthera longifolia                     ........+...................
Euphorbia amygdaloides ssp. amygdaloides     ........+...................
Knautia arvensis ssp. arvensis               ........+...................
Cyanus montanus ssp. montanus                ........+...................
Larix decidua                                ..........r..............2.2
Cardamine enneaphyllos                       ...........+++......++.+..1.
Epipactis helleborine s.lat.                 ...........+.......+.r.+....
Dryopteris borreri                           ............+...............
Asplenium trichomanes s.lat.                 ............+...............
Anemone nemorosa                             ..............+.............
Thelypteris limbosperma                      ..............r.............
Actaea spicata                               ...............+............
Sanicula europaea                            ...............+....+.......
Convallaria majalis ssp. majalis             ................+......++...
Symphytum tuberosum s.lat.                   ................+...........
Carex montana                                .................++.........
Knautia maxima ssp. maxima                   ...................r....++1.
Neottia nidus-avis                           ....................r+......
Lonicera alpigena                            ......................++....
Amelanchier ovalis                           ......................+.....
Valeriana saxatilis                          ......................+.....
Valeriana montana                            .......................+....
Galium lucidum                               .......................+....
Potentilla caulescens ssp. caulescens        .......................++...
Leontodon incanus                            .......................++...
Rhamnus cathartica                           .......................++...
Melampyrum sylvaticum s.str.                 .......................+....
Rhinanthus glacialis                         ........................+...
Lotus corniculatus s.str.                    ........................+++1
Thymus praecox s.lat.                        ........................+...
Kernera saxatilis                            ........................+...
Hippocrepis emerus ssp. emerus               ........................+...
Alnus glutinosa                              .........................1.2
Alnus incana                                 .........................1.1
Festuca rubra                                .........................335
Poa pratensis                                .........................212
Vicia cracca s.str.                          .........................1++
Aegopodium podagraria                        .........................+..
Lythrum salicaria                            .........................+..
Galeopsis tetrahit s.str.                    .........................+1.
Epilobium montanum                           .........................+.+
Verbascum speciosum                          .........................++.
Cirsium vulgare                              .........................+++
Dactylis glomerata ssp. glomerata            .........................212
Phleum pratense s.str.                       .........................1.2
Salix appendiculata s.str.                   .........................+..
Festuca pratensis s.str.                     .........................2+2
Agrostis capillaris                          .........................+..
Solidago canadensis                          .........................1..
Taraxacum sect. Ruderalia                    .........................+++
Epilobium parviflorum                        .........................++1
Calamagrostis epigejos                       .........................1..
Arrhenatherum elatius                        .........................+.2
Poa angustifolia                             .........................212
Urtica dioica ssp. dioica                    ..........................1.
Erigeron annuus s.lat.                       ..........................1.
Epilobium ciliatum ssp. ciliatum             ..........................1+
Impatiens noli-tangere                       ..........................+.
Polygonatum odoratum                         ..........................+.
Ulmus glabra                                 ..........................+.
Silene noctiflora                            ..........................1.
Sonchus asper ssp. asper                     ..........................++
Hieracium murorum                            ..........................+.
Trifolium pratense ssp. pratense             ..........................+1
Lolium multiflorum                           ...........................+
Lolium perenne                               ...........................2
Tussilago farfara                            ...........................1
Plantago lanceolata                          ...........................+
Trifolium repens ssp. repens                 ...........................1
Onobrychis viciifolia s.str.                 ...........................+
Crepis biennis                               ...........................+
END TABLE
