BEGIN HEAD
plot                                                rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
Melampyrum sylvaticum s.str.                        .+.+1.+...r+..1++1.+...+++1+.+2...+1
Melica nutans s.str.                                .+++++...+.+...++++1+......1...+++++
Mercurialis perennis s.str.                         .1++++++11++..+.1.11.11+r.++..1+2+++
Neottia nidus-avis                                  .+..r+............+...........+.....
Oxalis acetosella                                   .++++++...+.......1+11++.+++++++.r++
Paris quadrifolia                                   .+..............r+..r..+......+.+...
Picea abies                                         .+++++.+1++..122+++1+++++++++++++.+1
Polygala amara ssp. brachyptera                     .+..................................
Polystichum lonchitis                               .+.................+r+..............
Polygonatum multiflorum                             .+..............++..............r...
Polygonatum verticillatum                           .++.++++++++..+...+++.+.......+++++.
Potentilla erecta                                   .++++....+..+11+++.+.......+........
Prenanthes purpurea                                 .1+++++..+++......+++++.11+.+.++.+++
Ranunculus montanus s.str.                          .++.......+.........................
Rosa pendulina                                      .+.++.+..+.+..+...r++++++.+...+.....
Scabiosa lucida ssp. lucida                         .+.......+....r+...+................
Senecio ovatus ssp. ovatus                          .+................++11+1......+++++.
Sesleria caerulea s.str.                            .r1++....1.+2221++.+r++.+..+..+...+2
Solidago virgaurea ssp. virgaurea                   .++++....+...+..++++++++++++..++..++
Sorbus aucuparia ssp. aucuparia                     .++++++++........+++....++1+..++.++.
Vaccinium myrtillus                                 .++22++1.1++......++1++2112+11++..+1
Valeriana montana                                   .+.......+....r...++r12+............
Valeriana saxatilis                                 .+.++.+..+....1+...r..+....+......++
Valeriana tripteris                                 .11.+.++.+++.....+11.++++..+..++++1.
Veratrum album ssp. album                           .+.r..............++++.+r........++.
Veronica urticifolia                                .++...............1+..++.......+++++
Viola biflora                                       .++.....+..........++......+....+.+.
Aquilegia atrata                                    ..+...........................r.....
Betonica alopecuros                                 ..1r...rr+.+++++...1..+.............
Carex ornithopoda ssp. ornithopoda                  ..++..++++..+++..+.+..............+.
Fagus sylvatica                                     ..+.++.+.+++.++.++++1+++...+++.+++.r
Gentiana pannonica                                  ..r.......r........+r++....r........
Kernera saxatilis                                   ..r...+............+.r+.............
Leontodon hispidus ssp. hyoseroides                 ..r+r.+.....1r.r...........+......rr
Polystichum aculeatum s.str.                        ..+.....+...........r+.+........+++.
Thalictrum aquilegiifolium                          ..r.+.....r.......r.r..+............
Thelypteris limbosperma                             ..+++....++..........+....+++++...2.
Tussilago farfara                                   ..+.....r+..........................
Avenella flexuosa                                   ...+.....................11.11......
Blechnum spicant                                    ...+.....++..............rr..+......
Calamagrostis villosa                               ...1..................++r+1+++.....r
Carex ferruginea s.str.                             ...+.....+.......r.+.+.+...+........
Carex firma                                         ...r...........1....................
Chaerophyllum villarsii                             ...+................r+.....r........
Dactylorhiza maculata s.lat.                        ...r.........++r.r..r...............
Erigeron glabratus ssp. glabratus                   ...r................................
Euphrasia officinalis ssp. picta                    ...+...............1..+.............
Gymnocarpium dryopteris                             ...++....1..........+++++.++.+1....+
Luzula sylvatica ssp. sylvatica                     ...++..+..+........1+12++++++1+...1+
Lycopodium annotinum                                ...22.................+++31132.....2
Melampyrum pratense                                 ...++.....................+.........
Phyteuma orbiculare s.str.                          ...+..++++.+++++...+.......r.......r
Polygala chamaebuxus                                ...++.++.+.+++++11.+..+...++...+..++
Rhododendron hirsutum                               ...+.....+............+1...........+
Selaginella selaginoides                            ...+..........1+...........+........
Vaccinium vitis-idaea                               ...1+..................1++++24.....+
Aconitum lycoctonum s.lat.                          ....+...............................
Dryopteris borreri                                  ....r...............................
Fragaria vesca                                      ....+.+.++.+.......+++.+......++....
Frangula alnus                                      ....+............+............r.....
Phyteuma spicatum ssp. spicatum                     ....+r+..+........+..+r.......++..+.
Pyrola media                                        ....+...............................
Rubus saxatilis                                     ....+........+r+.1.+r++....+..+.....
Rubus sect. Rubus                                   ....+.............+.++.1............
Soldanella montana s.str.                           ....+...............................
Sorbus aria s.str.                                  ....++.....r....++.+...+......+...r.
Cephalanthera longifolia                            .....r.....r.r++....................
Carex flacca ssp. flacca                            ......+.+1.1112+21.........+..+2....
Carex sempervirens ssp. sempervirens                ......+......+1+r..+................
Galium anisophyllon                                 ......++++.++.++...+r++.............
Gentianopsis ciliata                                ......+....r........................
Hypericum perforatum                                .......+............................
Soldanella alpina                                   .......+............r.....+.........
Carex flava var. flava                              ........r..................+........
Carex sylvatica ssp. sylvatica                      ........+.+.........+..........+....
Galium mollugo s.str.                               ........r...........................
Viola reichenbachiana                               ........+.........+++.........++.++.
Clinopodium alpinum ssp. alpinum                    .........+....+.....................
Heliosperma pusillum ssp. pusillum                  .........+.............+............
Larix decidua                                       .........+...+++...+.+.+...........+
Linum catharticum                                   .........+..+..+...+..+....+........
Pinus mugo s.str.                                   .........+...............++++......+
Sorbus aucuparia ssp. glabrata                      .........++.........+.......++......
Thesium alpinum                                     .........r...+++....................
Cotoneaster tomentosus                              ...........r.....1..................
Epipactis helleborine s.lat.                        ...........r..r+rr.........r..r.....
Pteridium aquilinum                                 ...........+............r32.+.......
Achillea millefolium agg.                           ............+.......................
Berberis vulgaris                                   ............r.+.++..................
Brachypodium pinnatum s.str.                        ............2.+.+...................
Briza media                                         ............1.+........+............
Carex mucronata                                     ............r.+2....................
Carlina acaulis ssp. acaulis                        ............+.r+...r................
Crocus albiflorus                                   ............+.......................
Cynosurus cristatus                                 ............+.......................
Danthonia decumbens ssp. decumbens                  ............1.......................
Epipactis palustris                                 ............1.1.rr..................
Euphrasia officinalis ssp. rostkoviana              ............2.......................
Fraxinus excelsior                                  ............+++.1+r............+11..
Gymnadenia conopsea ssp. conopsea                   ............1++1....................
Gymnadenia odoratissima                             ............++r+....................
Laserpitium latifolium ssp. latifolium              ............++2.1+.r.......+........
Ononis spinosa ssp. spinosa                         ............+.......................
Parnassia palustris                                 ............+........+.+............
Pimpinella saxifraga ssp. saxifraga                 ............+.......................
Plantago media                                      ............+.......................
Prunella vulgaris                                   ............+.......+...............
Rhinanthus glacialis                                ............+221....................
Scabiosa columbaria s.str.                          ............21......................
Thymus praecox ssp. polytrichus                     ............+1++....................
Tofieldia calyculata                                ............11++r..........+........
Tragopogon pratensis ssp. pratensis                 ............r.......................
Trifolium medium ssp. medium                        ............+.......................
Trifolium montanum ssp. montanum                    ............r.......................
Viola collina                                       ............+.r.....................
Viola hirta                                         ............1+......................
Alnus incana                                        .............++.....................
Betula pendula                                      .............+.+....................
Carlina biebersteinii ssp. biebersteinii            .............2.r....................
Chlorocrepis staticifolia                           .............+......................
Globularia cordifolia s.str.                        .............+.+....................
Hieracium pilosella                                 .............+......................
Hippocrepis comosa                                  .............+1+....................
Petasites paradoxus                                 .............2++.+..................
Pyrola rotundifolia ssp. rotundifolia               .............r......................
Salix × vaudensis (=S. cinerea × myrsinifolia)      .............+......................
Salix appendiculata s.str.                          .............+....................+.
Salix waldsteiniana                                 .............+......................
Biscutella laevigata ssp. laevigata                 ..............r+....................
Corylus avellana                                    ..............+.++............r.....
Crepis paludosa                                     ..............+.....r..+......r.....
Gentiana clusii ssp. clusii                         ..............+1....................
Juniperus communis ssp. communis                    ..............+++1..................
Salix eleagnos ssp. eleagnos                        ..............12....................
Carex humilis                                       ...............r....................
Dryas octopetala                                    ...............+....................
Euphrasia salisburgensis s.str.                     ...............r...........+.......r
Gentiana verna ssp. verna                           ...............+....................
Globularia nudicaulis                               ...............+....................
Gypsophila repens                                   ...............r....................
Helianthemum nummularium ssp. glabrum               ...............+....................
Hieracium glabratum                                 ...............1....................
Juncus monanthos                                    ...............+....................
Orobanche alba                                      ...............+....................
Pinguicula alpina                                   ...............+...........+........
Polygala amarella                                   ...............r....................
Potentilla caulescens ssp. caulescens               ...............r....................
Potentilla clusiana                                 ...............r....................
Saxifraga caesia                                    ...............+....................
Silene vulgaris ssp. glareosa                       ...............r....................
Thymus praecox ssp. praecox                         ...............+....................
Acer platanoides                                    ................++..................
Asarum europaeum ssp. europaeum                     ................++..................
Brachypodium rupestre                               ................r...................
Cornus sanguinea s.lat.                             ................++..................
Cypripedium calceolus                               ................r...................
Hedera helix                                        ................+...................
Hepatica nobilis                                    ................+.+....+...+....+.+.
Juglans regia                                       ................++..................
Ligustrum vulgare                                   ................11..................
Lonicera xylosteum                                  ................++..................
Quercus robur                                       ................++..................
Rhamnus cathartica                                  ................++..................
Tilia cordata                                       ................+...................
Viburnum lantana                                    ................+1..................
Vincetoxicum hirundinaria                           ................r...................
Rubus caesius                                       .................+..................
Viburnum opulus                                     .................+..................
Actaea spicata                                      ..................r.++.+........++..
Asplenium trichomanes ssp. quadrivalens             ..................rr................
Cardamine trifolia                                  ..................+.1..+........+++.
Chaerophyllum hirsutum s.str.                       ..................+.+...........+...
Dryopteris dilatata                                 ..................+.r..1............
Galium odoratum                                     ..................1.+...........1+..
Geranium robertianum s.str.                         ..................+.............+...
Heracleum sphondylium ssp. elegans                  ..................r.1..+........1...
Lonicera alpigena                                   ..................+..1.+........11..
Moehringia muscosa                                  ..................+.+.++........+..r
Symphytum tuberosum s.lat.                          ..................rr+............+..
Alchemilla anisiaca                                 ...................r.rr.............
Arabis ciliata                                      ...................+................
Carex montana                                       ...................1...........+....
Clinopodium vulgare ssp. vulgare                    ...................+................
Hypericum maculatum s.str.                          ...................++..+............
Origanum vulgare ssp. vulgare                       ...................1r.r.............
Pulmonaria officinalis s.str.                       ...................r...+........+...
Rubus idaeus                                        ...................++.+2............
Silene vulgaris ssp. vulgaris                       ...................rr...............
Aconitum lycoctonum ssp. lycoctonum                 ....................1..+......+.....
Adenostyles alliariae                               ....................1..1............
Agrostis agrostiflora                               ....................r...............
Arabis sp.                                          ....................r...............
Athyrium distentifolium                             ....................r...............
Carex pendula                                       ....................r...............
Clematis alpina ssp. alpina                         ....................r.++............
Deschampsia cespitosa                               ....................r...............
Doronicum austriacum                                ....................+..+............
Epilobium montanum                                  ....................r.+.............
Festuca rupicaprina                                 ....................r...............
Geranium sylvaticum                                 ....................r.++............
Geum rivale                                         ....................r...............
Lactuca alpina                                      ....................1...............
Lonicera caerulea ssp. caerulea                     ....................+..+............
Lysimachia nemorum                                  ....................1...............
Milium effusum ssp. effusum                         ....................1...............
Myosotis sylvatica s.str.                           ....................r...............
Poa hybrida                                         ....................+...............
Poa nemoralis                                       ....................r+..............
Poa supina                                          ....................r...............
Primula elatior s.str.                              ....................+...............
Rumex alpestris                                     ....................+...............
Saxifraga rotundifolia ssp. rotundifolia            ....................+..+............
Silene dioica                                       ....................r...............
Sorbus chamaemespilus                               ....................r..+..r.........
Cirsium arvense                                     .....................+..............
Euphorbia amygdaloides ssp. amygdaloides            .....................+..............
Petasites albus                                     .....................1.1........2...
Peucedanum ostruthium                               .....................+..............
Aruncus dioicus                                     .......................+............
Phegopteris connectilis                             .......................+............
Calluna vulgaris                                    .........................11........+
Luzula luzulina                                     .........................r..rr+.....
Arabis stellulata                                   .............................r......
Amelanchier ovalis                                  ..............................+.....
Brachypodium sylvaticum                             ..............................+21..r
Galium rotundifolium                                ..............................+r....
Salvia glutinosa                                    ...............................+2++.
Sanicula europaea                                   ...............................1....
Asplenium scolopendrium ssp. scolopendrium          ................................1...
Circaea alpina                                      ................................+...
Cirsium oleraceum                                   ................................+...
Clematis vitalba                                    ................................+...
Galeobdolon montanum                                ................................1...
Impatiens noli-tangere                              ................................+...
Lunaria rediviva                                    ................................1...
Ulmus glabra                                        ................................+...
Urtica dioica ssp. dioica                           ................................+...
Campanula scheuchzeri                               ..................................r.
Cystopteris fragilis s.str.                         ...................................+
Rhodothamnus chamaecistus                           ...................................r
Sambucus racemosa                                   ...................................r
Rhytidiadelphus triquetrus                       ml .+............++....................
Polytrichum formosum                                .....+.1..+.........+..............+
Dicranodontium denudatum                            ..........2.........++...222212....3
Fissidens sp.                                       ..........+.........................
Hylocomium splendens                                ..........+..121....+.....++..+.....
Leucobryum glaucum                                  ..........r..............+..........
Plagiothecium undulatum                             ..........1..............r..........
Tortella tortuosa                                   ..........+..2+2....r....+.+++.....+
Ctenidium molluscum var. molluscum                  .............++.....11.....+........
Pleurozium schreberi                                .............+1...........+++.+.....
Bryoria sp.                                         ....................r...............
Hypnum cupressiforme s.lat.                         ....................+...............
Mnium sp.                                           ....................+...............
Bazzania trilobata                                  .........................++.........
Dicranum scoparium                                  ..........................+++++....1
Sphagnum girgensohnii                               ...........................r.......+
END TABLE
