BEGIN HEAD
plot                                         000000000111111111
Molinia caerulea agg.                        ..1............+..
Echium vulgare ssp. vulgare                  ..+...r.r.........
Achillea millefolium s.str.                  ..r++r+r+1+11+1+..
Brachypodium pinnatum s.str.                 ..22332221+12.1...
Sanguisorba minor ssp. minor                 ..1.++++r+++.+....
Trifolium medium ssp. medium                 ..1.++++11.1+++...
Plantago media                               ..+....++r+r......
Trifolium pratense ssp. pratense             ..+.......+.....++
Pimpinella major var. major                  ..+...............
Festuca sp.                                  ..+...............
Juniperus communis ssp. communis             ..+...............
Pinus sylvestris                             ..+...............
Picea abies                                  ..+...............
Agrimonia eupatoria                          ...1+++r11+1r.....
Arrhenatherum elatius                        ...11+1..111.1....
Aegopodium podagraria                        ...21...r1..1.....
Silene vulgaris ssp. vulgaris                ...++...++..+++...
Cruciata laevipes                            ...11...++.111++1.
Pteridium aquilinum                          ...4..............
Rubus idaeus                                 ...2+.............
Allium lusitanicum                           ...+++2+1.......++
Seseli libanotis ssp. libanotis              ...+.+r1r.......r+
Ranunculus acris ssp. acris                  ...+.....+.++r....
Veronica chamaedrys ssp. chamaedrys          ...+.....+111++++.
Vicia cracca s.str.                          ...+..............
Agrostis stolonifera s.str.                  ...+..............
Galeopsis speciosa                           ...r..............
Vicia sepium                                 ...r........+.....
Plantago lanceolata                          ....+++11+1+111r..
Cuscuta epithymum ssp. epithymum             ....+...+111111.1+
Carlina acaulis ssp. acaulis                 ....r...r.+r+++++2
Anthericum ramosum                           ....+1111+.++1111+
Polygonatum odoratum                         ....+1+1+1+..1+++.
Rubus sect. Rubus                            ....+.............
Impatiens glandulifera                       ....1.............
Urtica dioica ssp. dioica                    ....+.............
Agrostis capillaris                          ....1......++.+...
Digitalis grandiflora                        ....+...........r.
Prunus spinosa                               ....1...1.........
Carex caryophyllea                           .....+1+1.++.++...
Helictotrichon parlatorei                    .....+.r...++..+12
Sedum album                                  .....++rr.......+.
Teucrium montanum                            .....+1++.........
Seseli austriacum                            .....r++r.........
Dactylis glomerata ssp. glomerata            .....+....+1+..+..
Calamagrostis epigejos                       .....+............
Crataegus monogyna                           .....+............
Rhamnus saxatilis ssp. saxatilis             .....1.1..........
Erysimum sylvestre s.str.                    ......+rr.........
Globularia cordifolia s.str.                 ......1.+.........
Hippocrepis comosa                           ......+...+..++.+1
Galium anisophyllon                          ......+..111111+11
Carex sempervirens ssp. sempervirens         ......r........112
Jovibarba globifera ssp. hirta               ......+...........
Sedum sexangulare                            ......+...........
Potentilla alba                              ......+..........+
Leontodon incanus                            ......1...........
Linum catharticum                            ......+..........+
Helianthemum nummularium s.lat.              ......+....1...+..
Viburnum lantana                             ......r...........
Corylus avellana                             ......r...........
Briza media                                  .......+.1+1+11...
Primula veris ssp. veris                     .......+++111.+...
Alchemilla monticola                         .......+....r.....
Festuca versicolor ssp. pallidula            .......++1........
Amelanchier ovalis                           .......+..+.......
Thalictrum minus s.lat.                      ........+......+1r
Rhamnus cathartica                           ........r....+++..
Anthoxanthum odoratum s.str.                 .........111122...
Poa angustifolia                             .........++1+++...
Festuca pratensis s.str.                     .........+1111....
Poa nemoralis                                .........111.1+...
Rumex acetosa                                .........+.r+.....
Lathyrus pratensis ssp. pratensis            .........+.+.+....
Viola tricolor s.lat.                        .........+.1.++...
Cruciata glabra                              .........++...1...
Arabidopsis halleri                          .........1.1.rr...
Rhinanthus glacialis                         .........121222+++
Melica nutans s.str.                         .........++++++11+
Acer pseudoplatanus                          .........++rr.++++
Festuca rubra                                ..........+.+++...
Gymnadenia conopsea ssp. conopsea            ..........rrr.....
Trifolium aureum                             ..........r..++...
Fragaria moschata                            ..........11111...
Arabis ciliata                               ..........++.+++++
Geranium columbinum                          ..........+.......
Orobanche teucrii                            ..........+.......
Hylotelephium maximum                        ..........r.......
Luzula campestris s.str.                     ..........++......
Cotoneaster tomentosus                       ..........+.......
Malus sylvestris                             ..........r.......
Arabis hirsuta s.str.                        ...........r......
Festuca pulchella s.lat.                     ...........r......
Phleum pratense s.str.                       ...........++.....
Sorbus aria s.str.                           ...........+....+.
Brachypodium sylvaticum                      ............+++++.
Hypericum maculatum s.str.                   ............+.....
Stellaria graminea                           ............+.....
Orobanche caryophyllacea                     .............r....
Polygala alpestris ssp. alpestris            .............r....
Crepis alpestris                             ..............+.++
Orobanche reticulata ssp. reticulata         ..............r..+
Carex ferruginea s.str.                      ...............112
Heracleum austriacum ssp. austriacum         ...............++2
Polygala amara s.lat.                        ...............rr2
Campanula rotundifolia agg.                  ...............+++
Ranunculus montanus s.str.                   ...............+++
Phleum hirsutum                              ...............+++
Senecio ovatus ssp. ovatus                   ...............+r.
Geranium sylvaticum                          ...............+..
Primula elatior s.str.                       ...............+..
Maianthemum bifolium                         ...............1..
Globularia nudicaulis                        ...............r..
Rumex scutatus                               ................++
Biscutella laevigata s.lat.                  ................+1
Campanula trachelium                         ................r.
Hieracium sp.                                ................+.
Listera ovata                                ................r.
Frangula alnus                               ................+.
Pulsatilla alpina s.lat.                     .................+
Gentianella rhaetica                         .................r
Alchemilla anisiaca                          .................+
Heliosperma alpestre                         .................+
Lilium martagon                              .................+
Aconitum lycoctonum s.lat.                   .................+
Valeriana montana                            .................+
Thesium alpinum                              .................+
Rhytidiadelphus triquetrus                ml 1.................
Hylocomium splendens                         11................
Pleurozium schreberi                         11................
Scleropodium purum                           11+...............
Thuidium assimile                            .2..12212++++++++.
Homalothecium lutescens                      .+..12.+1.........
Tortella tortuosa                            .11..+11+.......1.
Entodon concinnus                            ..+..11.1.++.++...
Cladonia sp.                                 ..+...............
Abietinella abietina s.lat.                  ......+.1.........
Rhytidium rugosum                            ......+.1.........
END TABLE
