BEGIN HEAD
plot                                               llllllllllllllllllllllllllllllllll
Lonicera alpigena                                  1.r+++.+r++1+............+.r......
Lonicera xylosteum                                 +......+....++...++...++......++r.
Melica nutans s.str.                               +.+.+...+..+....++....r.++.+++++++
Mercurialis perennis s.str.                        1+++++..++r1++..+2.+12+2.+2111++++
Origanum vulgare ssp. vulgare                      111+++1+.+1+++1+1.r+..+.++r++++++.
Pimpinella major var. major                        11+.++.+++.+..........++........++
Potentilla caulescens ssp. caulescens              r..r...+....rr++........r.........
Prenanthes purpurea                                ++++++..+..++....+...+.+.+.+++++++
Rhamnus cathartica                                 +r.+.++++.+++++++.r+.+++++....r.+.
Rubus saxatilis                                    ++.+.1+.r++......+....+.....+.r.+.
Salvia glutinosa                                   1+1+111+1r11+1..+++11.1+.+.+++++++
Scabiosa lucida ssp. lucida                        r..+.++...rr.r+.+..........r..r...
Senecio ovatus ssp. ovatus                         r++.++.+.r.+...............++....+
Sesleria caerulea s.str.                           2112+1+12221122+1....r..2+.+++1+2+
Solidago virgaurea ssp. virgaurea                  ++++++..++++++..1+...+++++.+++++++
Thalictrum minus s.lat.                            +.++r++1r++.+++...+1..........r.r+
Ulmus glabra                                       +.+.....+...+....+.+++.+++++..+...
Valeriana montana                                  r...........r....................+
Valeriana officinalis ssp. tenuifolia              ++.......rr..............rr.rrr+++
Valeriana tripteris                                ++.+....+r.+r..........+.r.1+++1.+
Veronica urticifolia                               +++++.+++.+++...rr.........+1.++.+
Viburnum lantana                                   +...........++.11..++.+.1+......r.
Vincetoxicum hirundinaria                          21111121+121221++r+1+11.++rr++1+2+
Viola collina                                      ++.+..+.r++++++r+.....+.++.++r+++r
Viola reichenbachiana                              +++.+++..+.+......................
Actaea spicata                                     .r.....+..........................
Carex digitata                                     .++++..++..+++..r+rr++..++....++.+
Gentianopsis ciliata                               .r.r.....+.+...r...........+......
Maianthemum bifolium                               .r..........................r.....
Picea abies                                        .r...r.............r.......r......
Polygala chamaebuxus                               .+.+..+..+.....1........1r.....+1.
Sorbus aria s.str.                                 .+++..+++++....+1....r+.+...+...+.
Thymus praecox ssp. polytrichus                    .+................................
Tilia cordata                                      .r................................
Vaccinium myrtillus                                .r................................
Arabidopsis arenosa                                ..+...............................
Aruncus dioicus                                    ..r....+r.........................
Asarum europaeum ssp. caucasicum                   ..+....r.........2.rr1.2.++.......
Betonica alopecuros                                ..r+..+....................++.++1+
Carex ornithopoda ssp. ornithopoda                 ..r+...r.......r+.......++.....+..
Erigeron glabratus ssp. glabratus                  ..rr.....r........................
Heracleum austriacum ssp. austriacum               ..r..+............................
Lilium martagon                                    ..r.+...+.r......+...+.+.+........
Polystichum aculeatum s.str.                       ..r....+...................+......
Teucrium montanum                                  ..rr.........++++.......+.........
Amelanchier ovalis                                 ...+...1....+++2+.......1+........
Anthericum ramosum                                 ...1..++.++.+11....1.r+.........r.
Asplenium trichomanes ssp. quadrivalens            ...r...rr...............++.+..r...
Bellidiastrum michelii                             ...+....r..................+..++..
Euphorbia amygdaloides ssp. amygdaloides           ...r+.+.+..++..............1++++++
Fragaria vesca                                     ...+.+++.++.+...........++....+..+
Phyteuma orbiculare s.str.                         ...+.+.rr.+.................r.r++.
Polygonatum odoratum                               ...r...+r+...+++rr.r.r+.2+..+.rr+r
Primula auricula ssp. auricula                     ...r...r....r++...............r...
Sorbus aucuparia ssp. aucuparia                    ...+....................+..r...++.
Tilia × vulgaris (=T. cordata × platyphyllos)      ...+........+...+...+.....+...r...
Cephalanthera rubra                                ....r.............................
Gentiana asclepiadea                               ....+.............................
Sambucus racemosa                                  ....r.............................
Polygonatum verticillatum                          .....r...r.r...............+++++++
Euphorbia cyparissias                              ......++....+..++.......+.r.....1.
Rosa pendulina                                     ......++r................1....+...
Allium lusitanicum                                 .......+.r...r1...................
Betula pendula                                     .......+........+.................
Crataegus monogyna                                 .......+.....+.......r............
Euonymus latifolius                                .......+....r.....................
Globularia cordifolia s.str.                       .......+......+2+.......+.........
Hedera helix                                       .......+........+.................
Leontodon incanus                                  .......+....r.+...................
Poa compressa                                      .......+..........................
Rosa micrantha                                     .......r..........................
Sedum album                                        .......+....r..++.................
Teucrium chamaedrys ssp. chamaedrys                .......r.......+2.......1r......r.
Thymus praecox ssp. praecox                        .......r.......+..................
Tilia platyphyllos                                 .......+......+.....+...++........
Viola hirta                                        .......+................+.........
Cardamine enneaphyllos                             ........+........+........2..+....
Cephalanthera damasonium                           ........+...r.....................
Neottia nidus-avis                                 ........r....................r....
Gymnocarpium robertianum                           .........+.......++.++....2..+...+
Knautia maxima ssp. maxima                         .........+..................+.++..
Ranunculus nemorosus                               .........+..r.....................
Aquilegia atrata                                   ..........r....................+.+
Campanula rotundifolia agg.                        ..........r.......................
Galium album s.str.                                ..........r..................+....
Rhamnus saxatilis ssp. saxatilis                   ..........r..++.........1.........
Polygonatum multiflorum                            ...........r..................r...
Leontodon hispidus s.lat.                          ............r..+..................
Orobanche sp.                                      ............r.....................
Viola mirabilis                                    ............+.......r+...r........
Euonymus europaeus                                 .............+...+..+1.+..........
Galeobdolon montanum                               .............+..r+..++.2..........
Rubus caesius                                      .............r...+2+1++...+.......
Festuca pallens                                    ..............r...................
Gypsophila repens                                  ..............+...................
Hieracium glaucum                                  ..............+.+.................
Molinia caerulea agg.                              ..............+...................
Taxus baccata                                      ..............r.+.................
Erica carnea                                       ...............22.......+r........
Galium mollugo s.str.                              ...............r......r....++.+++r
Quercus robur                                      ...............r+.......r+........
Rubus idaeus                                       ...............r...r..+..+.....r..
Senecio abrotanifolius var. abrotanifolius         ...............+..................
Acer platanoides                                   ................+....+++++........
Pinus sylvestris                                   ................+.................
Rosa canina s.str.                                 ................+.......++r.......
Rubus sect. Rubus                                  ................2.................
Aegopodium podagraria                              .................r................
Athyrium filix-femina                              .................r........r.......
Cardamine trifolia                                 .................+.....+..........
Circaea lutetiana ssp. lutetiana                   .................r................
Dryopteris filix-mas s.str.                        .................+.....+..........
Geranium robertianum s.str.                        .................+.....+++.+.....+
Helleborus niger                                   .................2r.............r.
Listera ovata                                      .................r................
Phyteuma spicatum                                  .................+........+++.....
Pulmonaria officinalis s.str.                      .................+.....+..........
Viburnum opulus                                    .................+......+.........
Vinca minor                                        .................2........+.......
Viola alba s.lat.                                  ..................r..+...+r.......
Rosa arvensis                                      ....................+....+........
Viola riviniana                                    .....................r..++........
Dryopteris carthusiana s.str.                      .......................r..........
Lunaria rediviva                                   .......................+..........
Moehringia muscosa                                 .......................+...+......
Urtica dioica ssp. dioica                          .......................+..........
Cotoneaster tomentosus                             ........................r.........
Potentilla pusilla                                 ........................r.........
Viola pyrenaica                                    ........................1+........
Anemone nemorosa                                   .........................+........
Euphorbia dulcis                                   .........................+........
Fragaria moschata                                  .........................r........
Orchis mascula ssp. speciosa                       .........................r........
Prunus avium s.lat.                                .........................r........
Dryopteris dilatata                                ..........................r.......
Asplenium scolopendrium ssp. scolopendrium         ...........................r......
Clinopodium vulgare ssp. vulgare                   ...........................++.+.+.
Galium odoratum                                    ...........................+......
Poa nemoralis                                      ...........................+......
Silene vulgaris ssp. vulgaris                      ...........................+++++.r
Verbascum nigrum                                   ...........................r......
Carex brachystachys                                .............................+.+..
Hypericum maculatum s.str.                         .............................r....
Clematis alpina ssp. alpina                        ..............................r...
Veronica chamaedrys ssp. chamaedrys                ...............................r..
Centaurea scabiosa ssp. scabiosa                   ................................+.
Ctenidium molluscum s.lat.                      ml +.......1..............3..........
Neckera crispa                                     ..+.....+.........................
Tortella tortuosa                                  .....+...++.+++.+.................
END TABLE
