BEGIN HEAD
plot                                           sssssssssssss
Asarum europaeum ssp. europaeum                ......1......
Cardamine impatiens                            ......r......
Hedera helix                                   ......2......
Leucojum vernum                                ......r......
Lonicera xylosteum                             ......1......
Potentilla indica                              ......+......
Pulmonaria officinalis s.str.                  ......+......
Rhamnus cathartica                             ......r......
Rosa arvensis                                  ......r......
Salix cinerea s.str.                           ......+......
Stachys sylvatica                              ......r......
Rubus idaeus                                   .......421...
Cardamine bulbifera                            .........1...
Cardamine enneaphyllos                         .........2...
Dryopteris filix-mas s.str.                    .........1.+.
Acer platanoides                               ..........r..
Euphorbia dulcis                               ..........+..
Fragaria vesca                                 ..........r..
Veronica montana                               ..........++r
Geranium robertianum s.str.                    ...........r.
Myosotis sylvatica s.str.                      ...........r.
Picea abies                                    ...........rr
Abies alba                                  sl 2........1.21
Carpinus betulus                               2...r..1...r.
Fagus sylvatica                                5...r..+1232+
Prunus padus ssp. padus                        r...r22....+.
Acer pseudoplatanus                            ....r12r123.+
Cornus sanguinea ssp. sanguinea                ....112....r.
Euonymus europaeus                             ....r1r....r.
Cornus alba s. propr. non auct.                .....3.......
Lonicera xylosteum                             .....11......
Salix cinerea s.str.                           .....23......
Salix purpurea                                 .....1.......
Sambucus nigra                                 .....11......
Viburnum opulus                                .....rr......
Corylus avellana                               ......r11..r.
Fraxinus excelsior                             ......1......
Quercus robur                                  .......r.....
Picea abies                                    ........1+r.2
Abies alba                                 tl2 1........3..2
Fagus sylvatica                                2...2.....142
Carpinus betulus                               ....1......1.
Salix caprea                                   ....1........
Acer pseudoplatanus                            .....22...121
Alnus glutinosa                                .....22......
Fraxinus excelsior                             .....1.....1.
Salix purpurea                                 .....1.......
Prunus padus ssp. padus                        ......1......
Prunus avium s.lat.                            ...........1.
Sorbus aucuparia ssp. aucuparia                ...........r.
Picea abies                                    ............3
Acer pseudoplatanus                        tl1 3....22...221
Fagus sylvatica                                3...2....5513
Fraxinus excelsior                             1....2.....2.
Picea abies                                    2.........1..
Quercus robur                                  2............
Carpinus betulus                               ....5........
Alnus glutinosa                                .....44......
END TABLE
