BEGIN HEAD
plot                                               ffffffffffffffffffffffffffffffffffff
Chaerophyllum hirsutum s.str.                      .+.......+.........................r
Chrysosplenium alternifolium                       .r..................................
Festuca arundinacea ssp. arundinacea               .r......................+...........
Fragaria vesca                                     .+11..r+22...++.+++1.1+.+++.++..++1+
Galeobdolon montanum                               .r..........+.......................
Galeopsis sp.                                      .r..........1.......................
Geranium robertianum s.str.                        .+....+.....2.........+...+.......r.
Geum urbanum                                       .+..................................
Helianthemum nummularium ssp. glabrum              .++..............r...r.........r...+
Hieracium lactucella                               .+r.................................
Hieracium piloselloides s.str.                     .+.+.+++.....r.r+++.+.+r+.......+...
Lathyrus pratensis ssp. pratensis                  .+............r+....................
Listera ovata                                      .r+.....++..r......+.+...+..rr...r+1
Lonicera caerulea ssp. caerulea                    .+1..............................r+.
Lonicera xylosteum                                 .++...............................+.
Luzula pilosa                                      .rr.................................
Lysimachia nummularia                              .+..................................
Mentha longifolia                                  .+.........................r........
Origanum vulgare ssp. vulgare                      .+1+................................
Oxalis acetosella                                  .++.....2...1.............1.......1.
Picea abies                                        .++..r.r++r..3..rr..211..5..1121..+1
Poa trivialis                                      .++........21.............+4........
Ranunculus repens                                  .++.2......11..+.......+..+2......r.
Senecio ovatus ssp. ovatus                         .r++....+...+.............2.......++
Urtica dioica ssp. dioica                          .1..........4.............++........
Veronica officinalis                               .+++....++......1.r..r.r.+..rr......
Vicia sepium                                       .+........................+.........
Viola biflora                                      .++.....+...+.............+.......2.
Viola reichenbachiana                              .++................+...............+
Acer pseudoplatanus                                ..r.....................r...r.r...rr
Aconitum napellus s.lat.                           ..r.........+.....................r.
Aconitum variegatum ssp. variegatum                ..r.......................+.........
Adenostyles alpina                                 ..+...+.22..+....r12.+...r1.......++
Aegopodium podagraria                              ..++................................
Aquilegia atrata                                   ..+......r..r......r......r.......r.
Asplenium viride                                   ..+..........r.....+.r......+.r...r.
Athyrium filix-femina                              ..+.................................
Berberis vulgaris                                  ..+......+.........r................
Betula pendula                                     ..r.................r...r.....r..r..
Biscutella laevigata ssp. laevigata                ..+.................................
Calamagrostis varia                                ..14.+22222.+3...113232.+22.21221322
Campanula scheuchzeri                              ..+.........r.............r.........
Carduus defloratus ssp. viridis                    ..++.++1r++..+...++++1+..+..r.+....+
Carex alba                                         ..1.....12.........1++............2.
Carlina acaulis ssp. acaulis                       ..+..r..r.r...r.++.+....rr......r..+
Cephalanthera longifolia                           ..r...............................r.
Cirsium arvense                                    ..r.1......1..rrr....r.....2........
Clinopodium vulgare ssp. vulgare                   ..+.....+r...r...r.......+1.+.......
Convallaria majalis ssp. majalis                   ..r.................................
Crepis alpestris                                   ..1+...r..1..+...+..+r...+..r.r....1
Dactylorhiza maculata s.lat.                       ..r.....r+r..................r.....r
Daphne mezereum                                    ..r.....++.........+.r............rr
Dryopteris dilatata                                ..+.................................
Dryopteris filix-mas s.str.                        ..+...............................r.
Epilobium montanum                                 ..+r..r.....+.......................
Epipactis atrorubens                               ..rr....++...+....r+.1...+..+++..rr+
Equisetum arvense                                  ..r.+..........r....................
Erica carnea                                       ..++.+r1.++..+..++.+++.r.+..1+...2+2
Eupatorium cannabinum                              ..1.......................1.........
Gentiana asclepiadea                               ..r.................................
Gymnocarpium robertianum                           ..1...+.++..+......+.++..r+.+.+...+.
Hieracium bifidum                                  ..++...r..r..1...1+112+..1..1111...1
Hieracium murorum                                  ..++....12...+.....+.+...+..++....+.
Homogyne alpina                                    ..r.....++.........r.....rr.......r.
Hypericum perforatum                               ..+..............................r..
Knautia maxima ssp. maxima                         ..+...............++.....r........+.
Lilium martagon                                    ..rr..............................r.
Lonicera alpigena                                  ..+...............................r.
Lycopodium annotinum                               ..r.................................
Maianthemum bifolium                               ..+.....1.........................1.
Melampyrum sylvaticum s.str.                       ..++....1....+....+1.+...+..+++...2+
Melica nutans s.str.                               ..1+.....+........++.+...r+.+++..+11
Mercurialis perennis s.str.                        ..+.........+......+......+.......r.
Moehringia muscosa                                 ..+................r......+.........
Molinia caerulea s.str.                            ..+.................................
Orobanche reticulata ssp. reticulata               ..r.................................
Paris quadrifolia                                  ..+.....+.................r.......++
Persicaria vivipara                                ..+.................................
Petasites albus                                    ..+.................................
Phyteuma orbiculare s.str.                         ..1....++1.......1.+.+...r..r+....++
Poa nemoralis                                      ..+...............................+.
Polygala chamaebuxus                               ..+....+.1.......1.1.....+........++
Polystichum lonchitis                              ..r.................................
Polygonatum verticillatum                          ..+.................................
Prenanthes purpurea                                ..r.................................
Primula elatior s.str.                             ..+...............................r.
Rosa pendulina                                     ..+...............................r.
Rubus idaeus                                       ..+..................r..............
Rubus saxatilis                                    ..++..............................r+
Rumex acetosa                                      ..+.................................
Salix caprea                                       ..+..r+.............1....r...rr.rr..
Salix myrsinifolia ssp. myrsinifolia               ..r..........r....r.+.+..r....r..r.r
Scabiosa lucida ssp. lucida                        ..+...+.............................
Sesleria caerulea s.str.                           ..1+............+..++..........r..++
Soldanella alpina                                  ..+.................................
Sorbus aucuparia ssp. aucuparia                    ..+...............................r.
Thymus praecox ssp. polytrichus                    ..1r.212.1+..12.22.2r.r.2+..+.++1..+
Tofieldia calyculata                               ..+..rr+..+..+..+.++1+r..+..+r11+..1
Tussilago farfara                                  ..+...r.++..1..r..+.......+.......+.
Valeriana montana                                  ..1+.....1+........+.+....+....r.+r+
Valeriana officinalis s.lat.                       ..++..............................r.
Valeriana saxatilis                                ..r...............r.................
Valeriana tripteris                                ..1+....++..+......r..............r+
Veronica urticifolia                               ..+.......................+.rr......
Viburnum lantana                                   ..r.................................
Viola collina                                      ..+................+................
Angelica sylvestris ssp. sylvestris                ...+.............................r..
Arrhenatherum elatius                              ...1r...........r...................
Campanula trachelium                               ...+................................
Chlorocrepis staticifolia                          ...r..1..+1..+....++++2..+..1++1.+.+
Crepis biennis                                     ...+................................
Cypripedium calceolus                              ...r....rr........r+.r.............1
Lactuca muralis                                    ...+....+...+........+....r.........
Orobanche flava                                    ...r..........................r.....
Petasites paradoxus                                ...2.r..++2..2...+22221..21.2222+2.1
Polystichum aculeatum s.str.                       ...r..............................r.
Rhinanthus glacialis                               ...r................................
Agrostis stolonifera s.str.                        ....++....+2..++..r.................
Carex hirta                                        ....2......+...+.......1...+........
Juncus articulatus                                 ....+..r......r.r...................
Lolium multiflorum                                 ....1...............................
Phleum pratense s.str.                             ....2..r......+........++..+........
Plantago major s.lat.                              ....+.....r1+r11.......+...+........
Trisetum flavescens ssp. flavescens                ....+.....................+.........
Anthyllis vulneraria ssp. alpicola                 .....+...........r.......+....r.....
Dryas octopetala                                   .....2.......+...r.++....+..+.+....2
Larix decidua                                      .....rr...r..+..r.r.+.+..r..r..r....
Poa alpina                                         .....++...+..+......r...............
Sagina procumbens                                  .....r.........r....................
Salix eleagnos ssp. eleagnos                       .....r1+..+..+.......rr.......+r..+.
Salix purpurea                                     .....r....r..r....r.2.+......r+r+...
Saxifraga aizoides                                 .....r++..+.......+.+..........rr...
Kernera saxatilis                                  ......r..................+r...r.....
Pinguicula alpina                                  ......+...+..+..r.+++r...+..........
Trifolium hybridum ssp. hybridum                   ......r.............................
Leontodon hispidus ssp. hyoseroides                .......2..+..+....+1.1+..1..++..2..+
Selaginella selaginoides                           .......+.+...............+..........
Carex digitata                                     ........+.................r.......+.
Fagus sylvatica                                    ........r....r....r.................
Gymnadenia odoratissima                            ........++.......r.r.r...+..r......r
Hypopitys hypophegea                               ........r...........................
Juniperus communis ssp. communis                   ........r+......rr.r.1...r..........
Luzula luzulina                                    ........+...........................
Orthilia secunda                                   ........r.........................r+
Solidago virgaurea ssp. virgaurea                  ........+1..........................
Vaccinium myrtillus                                ........++..........................
Viola hirta                                        ........++.........................+
Bellidiastrum michelii                             .........+1..+.+.r++2....1.2+++...+1
Clematis alpina ssp. alpina                        .........+.........r.+............r.
Polygala amara ssp. brachyptera                    .........r...+....+.+.r..+..r.+++..+
Sorbus aria s.str.                                 .........r..........................
Pinus sylvestris                                   ..........r..1......+.r..r....rrr...
Salix appendiculata s.str.                         ..........r........r+r..+r...+.r....
Cirsium vulgare                                    ...........r........................
Glyceria notata                                    ...........r........................
Juncus compressus s.str.                           ...........+..+.....................
Veronica serpyllifolia ssp. serpyllifolia          ...........+.............r.+........
Cardamine enneaphyllos                             ............r.............+.........
Cardamine flexuosa                                 ............r.............r.........
Crepis paludosa                                    ............+.............+.........
Senecio nemorensis s.lat.                          ............r.......................
Stellaria media s.str.                             ............3.......................
Veronica montana                                   ............r.......................
Erigeron acris ssp. acris                          .............r......................
Pinus mugo s.str.                                  .............+...r.r+r...r...r......
Saxifraga caesia                                   .............+......+.........+.....
Carex leporina                                     ..............r........+............
Carex pallescens                                   ..............+...................r.
Erigeron canadensis                                ...............r....................
Heracleum sphondylium ssp. sphondylium             ...............r....................
Juncus tenuis                                      ...............r....................
Potentilla anserina                                ...............+....................
Potentilla reptans                                 ...............+..........r.........
Rumex obtusifolius s.lat.                          ...............r....................
Sonchus asper ssp. asper                           ...............r....................
Tanacetum vulgare                                  ...............+....................
Trifolium dubium s.str.                            ...............2....................
Vicia cracca s.str.                                ...............r.................+..
Danthonia decumbens ssp. decumbens                 ................+...................
Hypochaeris radicata                               ................r...................
Campanula rotundifolia s.str.                      .................+..................
Festuca stricta ssp. trachyphylla                  .................r..................
Abies alba                                         ..................r..r....r...r.....
Carex firma                                        ..................+.r..........r....
Antennaria dioica                                  ...................r...............1
Asplenium ruta-muraria                             ...................+................
Coeloglossum viride                                ...................r................
Euphrasia salisburgensis s.str.                    ...................r................
Globularia cordifolia s.str.                       ...................r................
Pyrola rotundifolia ssp. rotundifolia              ...................r..............+1
Carex brachystachys                                ....................r.........r.....
Carex mucronata                                    ....................r...............
Salix reticulata                                   ....................r...............
Salix retusa s.str.                                ....................r...............
Betonica alopecuros                                .........................r..........
Brachypodium sylvaticum                            .........................+..........
Carex ferruginea s.str.                            .........................+..r.......
Hieracium bupleuroides                             .........................+..........
Pinguicula vulgaris                                .........................+..+.++....
Aconitum lycoctonum s.lat.                         ..........................r.........
Arabis alpina ssp. alpina                          ..........................1.........
Arabis ciliata                                     ..........................r.........
Cirsium oleraceum                                  ..........................+.........
Galeobdolon flavidum                               ..........................+.......r.
Laserpitium latifolium ssp. latifolium             ..........................r.........
Molinia caerulea agg.                              ..........................+..r+.....
Tephroseris crispa                                 ..........................1.........
Trifolium badium                                   ..........................r.........
Gypsophila repens                                  ............................+.+.....
Hieracium praealtum                                ............................++.rr.r+
Salix glabra                                       ............................r.++....
Trifolium medium ssp. medium                       ............................r.......
Moneses uniflora                                   .............................+r...r.
Carex ornithopoda ssp. elongata                    ..............................+...+.
Dactylorhiza majalis ssp. majalis                  ..............................r.....
Rhododendron hirsutum                              ..............................r.....
Solidago canadensis                                ................................+...
Rhinanthus alectorolophus ssp. alectorolophus      .................................r..
Valeriana officinalis ssp. tenuifolia              .................................+..
Viola riviniana                                    .................................+..
Cirsium heterophyllum                              ..................................+.
Filipendula ulmaria                                ..................................r.
Geum rivale                                        ..................................r.
Actaea spicata                                     ...................................r
Epipactis palustris                                ...................................+
Platanthera bifolia                                ...................................r
Primula clusiana                                   ...................................r
Alnus incana                                    sl .+.+....r............+......rr11....
Berberis vulgaris                                  .22......+.........r................
Lonicera xylosteum                                 .+++................................
Picea abies                                        .222....11...+.....4.3..21..452..2+3
Salix eleagnos ssp. eleagnos                       .3................................+1
Salix myrsinifolia ssp. myrsinifolia               .+r+.............................+11
Salix purpurea                                     .1...........................r+....1
Abies alba                                         ..r.................................
Acer pseudoplatanus                                ..+1.................1.............r
Betula pendula                                     ..r..............................1.r
Cotoneaster integerrimus                           ..r.................................
Fraxinus excelsior                                 ..r.................................
Juniperus communis ssp. communis                   ..r................r.............r..
Lonicera caerulea ssp. caerulea                    ..11.............................r..
Sorbus aucuparia ssp. aucuparia                    ..+.................................
Viburnum lantana                                   ..r.................................
Salix appendiculata s.str.                         ...1.....................r...r...+..
Salix caprea                                       ...+.............................1..
Larix decidua                                      ...................1.....r..r......r
Pinus sylvestris                                   .....................r...r.....r.r..
Alnus incana                                   tl2 .2......2...................1.....2.
Betula pendula                                     .++..............................1+r
Picea abies                                        .+33....13..2+.....2.3......1.r..322
Salix caprea                                       .+.+.............................2+.
Salix daphnoides ssp. daphnoides                   .2.................................r
Salix eleagnos ssp. eleagnos                       .3................................12
Salix triandra ssp. amygdalina                     .1..................................
Acer pseudoplatanus                                ..12................................
Fagus sylvatica                                    ........1...1.......................
Abies alba                                         ............1.......................
Larix decidua                                      ...................2...............+
Pinus sylvestris                                   .....................1...........1..
Salix purpurea                                     ............................1......1
Salix triandra s.lat.                              .................................1..
Picea abies                                    tl1 ........33..4.....................3.
Pinus sylvestris                                   .........1..........................
Abies alba                                         ............2.......................
Fagus sylvatica                                    ............2.......................
Larix decidua                                      ............1.......................
Acer pseudoplatanus                                ..................................+.
END TABLE
