BEGIN HEAD
plot                                                 wwwwwwwwwwww
Juncus alpinoarticulatus ssp. alpinoarticulatus      .+.....+....
Juncus effusus ssp. effusus                          .1.....11...
Juncus inflexus                                      .+.....2+...
Lysimachia nemorum                                   .1+1.++.++1.
Salix myrsinifolia ssp. myrsinifolia                 .r...1......
Scirpus sylvaticus                                   .2..r..4r...
Tussilago farfara                                    .r.2........
Valeriana dioica                                     .212..+22...
Valeriana officinalis agg.                           .+.r+.+11...
Acer platanoides                                     ..r.r.......
Euonymus europaeus                                   ..r.........
Fagus sylvatica                                      ..r.........
Festuca gigantea                                     ..r.........
Galeopsis pubescens ssp. pubescens                   ..r.r+.r....
Geum urbanum                                         ..r.........
Polystichum lonchitis                                ..r.........
Salvia glutinosa                                     ..1.+.......
Viola biflora                                        ..+.........
Elymus caninus                                       ...r........
Phleum pratense s.str.                               ...r.....r21
Athyrium filix-femina                                ....221.....
Cardamine hirsuta                                    ....r+......
Carex brizoides                                      ....++......
Carpinus betulus                                     ....r.......
Chaerophyllum hirsutum s.str.                        ....+.......
Cirsium palustre                                     ....r.......
Cornus alba s. propr. non auct.                      ....+.......
Dryopteris dilatata                                  ....+2......
Fragaria vesca                                       ....+11.....
Petasites albus                                      ....r.......
Prunus avium s.lat.                                  ....r.......
Sambucus racemosa                                    ....r.+.....
Solanum dulcamara                                    ....rr......
Ulmus glabra                                         ....r.......
Urtica dioica ssp. dioica                            ....2.......
Aruncus dioicus                                      .....r+.....
Betula pendula                                       .....+......
Campanula patula ssp. patula                         .....r......
Hypericum maculatum s.str.                           .....rr..+..
Luzula sylvatica ssp. sylvatica                      .....+......
Persicaria bistorta                                  .....r...13.
Ranunculus acris ssp. acris                          .....+...122
Rumex acetosa                                        .....r...+++
Salix caprea                                         .....1......
Alchemilla sp.                                       .......r....
Carex paniculata ssp. paniculata                     .......+2.+.
Epilobium parviflorum                                .......+....
Epilobium roseum                                     .......++...
Juncus articulatus                                   .......+....
Mentha longifolia                                    .......+....
Potentilla anserina                                  .......r....
Salix purpurea                                       .......+....
Carex remota ssp. remota                             ........+...
Achillea millefolium agg.                            .........+.+
Agrostis capillaris                                  .........+..
Alchemilla monticola                                 .........111
Anemone nemorosa                                     .........++.
Anthoxanthum odoratum s.str.                         .........211
Briza media                                          .........1..
Cardamine pratensis s.str.                           .........+..
Carex ornithopoda ssp. ornithopoda                   .........+..
Carex pallescens                                     .........1+.
Cerastium holosteoides                               .........+++
Dactylis glomerata ssp. glomerata                    .........112
Festuca arundinacea ssp. arundinacea                 .........r..
Festuca nigrescens                                   .........+..
Festuca pratensis s.str.                             .........+11
Festuca rubra ssp. rubra                             .........221
Homalotrichon pubescens ssp. pubescens               .........+..
Hypochaeris radicata                                 .........r..
Lathyrus pratensis ssp. pratensis                    .........+11
Leontodon hispidus ssp. hispidus                     .........++2
Lolium perenne                                       .........1..
Lotus corniculatus s.str.                            .........1.+
Luzula campestris s.str.                             .........1+.
Luzula pilosa                                        .........++.
Plantago lanceolata                                  .........2+1
Potentilla erecta                                    .........+..
Potentilla reptans                                   .........++.
Prunella vulgaris                                    .........1.+
Rhinanthus alectorolophus ssp. alectorolophus        .........++.
Stellaria graminea                                   .........++.
Trifolium pratense ssp. pratense                     .........222
Trisetum flavescens ssp. flavescens                  .........+22
Veronica chamaedrys ssp. chamaedrys                  .........+++
Vicia cracca s.str.                                  .........+..
Crepis biennis                                       ..........++
Crepis paludosa                                      ..........1.
Lychnis flos-cuculi                                  ..........+.
Myosotis sylvatica s.str.                            ..........+.
Poa pratensis                                        ..........r1
Poa trivialis                                        ..........++
Alopecurus pratensis                                 ...........1
Ficaria verna ssp. verna                             ...........r
Lysimachia nummularia                                ...........+
Pimpinella major var. major                          ...........+
Vicia sepium                                         ...........1
Plagiomnium undulatum                             ml 2.2.+11.....
Aneura pinguis                                       .r.r...r....
Calliergonella cuspidata                             .3.1...44...
Campylium stellatum                                  .+..........
Fissidens adianthoides                               .+..........
Palustriella commutata var. falcata                  .3.4...23...
Rhizomnium punctatum                                 .+..........
Conocephalum conicum                                 ..+.........
Ctenidium molluscum s.lat.                           ..r.........
Eurhynchium striatum                                 ..2+222.....
Fissidens taxifolius                                 ..+.........
Plagiomnium affine                                   ..+...+.....
Palustriella commutata var. commutata                ...+........
Rhytidiadelphus triquetrus                           ....+.......
Marchantia polymorpha ssp. polymorpha                .......+....
Pellia sp.                                           .......+....
END TABLE
