BEGIN HEAD
plot                                            wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
Acer pseudoplatanus                             ..+.++.+++...+..+++..+++.++.+.+.....
Calamagrostis villosa                           ..+.11+..1........1...1........11...
Dryopteris dilatata                             ..+..++....1....1+....+.............
Hepatica nobilis                                ..+.++.+.++........+++..+.+11+......
Moehringia muscosa                              ..+..+.+........++...++.+1++.+......
Phegopteris connectilis                         ..+........+....1+.........+.+.+...1
Sanicula europaea                               ..+.................................
Saxifraga rotundifolia ssp. rotundifolia        ..+.............+........+...+......
Viola reichenbachiana                           ..+..+..+.+...........+.............
Huperzia selago ssp. selago                     ...++..+..+.+...+++..++......+..+..+
Vaccinium myrtillus                             ...+2+12111.21+++22..1+++....1.22..1
Asplenium viride                                ....+..+..+++....++..++.++++++......
Bellidiastrum michelii                          ....+..+++..+..++++........++.+..++1
Clematis alpina ssp. alpina                     ....+..1++..+.+.+++..+.....+++.....+
Erica carnea                                    ....+..122..1332..11..........+231++
Hieracium murorum                               ....+..++.+..+........+....+...+....
Homogyne alpina                                 ....+..+.+............+........++..+
Knautia maxima ssp. maxima                      ....+..+++....+...........+....+..++
Lactuca muralis                                 ....1+..+.++....+.+..++..+.++.......
Listera ovata                                   ....+...............................
Luzula sylvatica ssp. sylvatica                 ....+...............................
Melampyrum sylvaticum s.str.                    ....+..11++.++++.++............++..+
Melica nutans s.str.                            ....+..+11+1+............+.++++.....
Phyteuma spicatum ssp. spicatum                 ....+..+............+.+..+..+.......
Rosa pendulina                                  ....+...++..+........+.....+........
Vaccinium vitis-idaea                           ....+..1+1..1.++..1..........+.11...
Valeriana tripteris                             ....+..+++..+++.+1.......++++1.....1
Neottia nidus-avis                              .....+..............+...+.+.+.......
Senecio ovatus ssp. ovatus                      .....+.+..+1....1++...+.............
Lonicera xylosteum                              ......+..............++...++.+......
Asplenium ruta-muraria                          .......+++.+.++..+.+.......+........
Campanula cochleariifolia                       .......+.......+..+......+..+++...r+
Carex ornithopoda ssp. ornithopoda              .......++++.++++...+.........+....++
Daphne mezereum                                 .......+.++.+........+..+..+........
Galium anisophyllon                             .......+.+....++...+.........++.....
Hieracium bifidum                               .......+.+..+11+...+........+.+..+++
Phyteuma orbiculare s.str.                      .......+++..++++..............+..+++
Polygala chamaebuxus                            .......++...+1++...+..........+.+.+.
Ranunculus nemorosus                            .......+.....................++.....
Sesleria caerulea s.str.                        .......111...+11...........+.22+.222
Sorbus aria s.str.                              .......++.+.++1+...+...........+++.+
Valeriana saxatilis                             .......+.......+...+..........1..111
Amelanchier ovalis                              ........1+..+1.+...+.............++.
Buphthalmum salicifolium                        ........1+..+++1..............+.....
Carduus defloratus ssp. viridis                 ........++..+++1...1..........+.....
Convallaria majalis ssp. majalis                ........+1..1111....+...............
Euphrasia sp.                                   ........+..........................+
Laserpitium latifolium ssp. latifolium          ........+....+.+...+..............+.
Pinus sylvestris                                ........+...........................
Primula auricula ssp. auricula                  ........+....+1+..............+.....
Rhododendron hirsutum                           ........+.....+..............3.+1.++
Rubus saxatilis                                 ........++..++1+.....r.....r.+.+....
Tofieldia calyculata                            ........+...................r.+..++.
Asplenium trichomanes ssp. quadrivalens         .........+...............+.+........
Calluna vulgaris                                .........+........+............22...
Carex alba                                      .........++...++.+..+...+2+12.......
Carex brachystachys                             .........++.....++++.............+.+
Frangula alnus                                  .........+...11+....................
Leontodon hispidus ssp. hispidus                .........+.....+...+..........+..1..
Origanum vulgare ssp. vulgare                   .........+..........................
Polygonatum odoratum                            .........+.....1...1................
Potentilla caulescens ssp. caulescens           .........r..+++....................+
Pteridium aquilinum                             .........2....+.....................
Thelypteris limbosperma                         .........+.1........................
Viola hirta                                     .........+...1++...+................
Viola riviniana                                 .........+..........+...............
Epilobium alpestre                              ..........+.........................
Luzula sylvatica ssp. sieberi                   ..........+.........................
Scrophularia nodosa                             ..........+.........................
Betula pendula                                  ...........1.................+.+....
Cirsium vulgare                                 ...........+........................
Dryopteris borreri                              ...........1....1.....++............
Eupatorium cannabinum                           ...........1................+.+.....
Impatiens noli-tangere                          ...........+........................
Molinia caerulea agg.                           ...........+........................
Rubus idaeus                                    ...........2....+1..................
Salix appendiculata s.str.                      ...........+................++r.....
Aposeris foetida                                ............1..+....................
Carex mucronata                                 ............+.++...2................
Cotoneaster tomentosus                          ............+.......................
Epipactis atrorubens                            ............++++....................
Hieracium sp.                                   ............++......................
Pyrola rotundifolia ssp. rotundifolia           ............+................1......
Scabiosa lucida ssp. lucida                     ............+++.....................
Brachypodium rupestre spp. rupestre             .............12.....................
Carex humilis                                   .............22+....................
Globularia cordifolia s.str.                    .............++++..+................
Juniperus communis ssp. communis                .............r.+....................
Leontodon incanus                               .............1.+...1................
Platanthera bifolia                             .............++..............+r...r+
Rhamnus cathartica                              .............+......................
Salvia glutinosa                                .............+......+.+.............
Teucrium montanum                               .............1.+...1................
Thymus praecox ssp. praecox                     .............11+...1................
Viburnum lantana                                .............++.....................
Vincetoxicum hirundinaria                       .............+.+...2+...............
Anthericum ramosum                              ..............++....................
Larix decidua                                   ..............+...............++++.+
Valeriana montana                               ..............r...............++..++
Aquilegia atrata                                ...............+............+.+.....
Betonica alopecuros                             ...............+....+...............
Carex flacca ssp. flacca                        ...............+....+...............
Corylus avellana                                ...............+..........+.........
Fraxinus excelsior                              ...............+....+++++++.+.+...+.
Galium sylvaticum s.str.                        ...............+....+++.+++.++......
Gymnadenia conopsea ssp. conopsea               ...............+..............+.....
Rhinanthus glacialis                            ...............+..............+.....
Cystopteris fragilis s.str.                     ................++....+..1.++.......
Geranium robertianum s.str.                     ................++.......1++........
Stellaria nemorum s.str.                        ................++.......+++........
Cystopteris montana                             .................+........+..+......
Sambucus racemosa                               .................+..................
Aconitum variegatum s.lat.                      ....................+.......+.......
Ajuga reptans                                   ....................+.....+.........
Corallorhiza trifida                            ....................+...+...........
Epipactis helleborine s.lat.                    ....................+...++..r.......
Aconitum lycoctonum ssp. vulparia               .....................++.+++1++......
Aruncus dioicus                                 .....................+...++++.......
Chaerophyllum hirsutum s.str.                   ......................+.............
Deschampsia cespitosa                           ......................r.............
Festuca altissima                               .......................1............
Chrysosplenium alternifolium                    .........................+.+........
Lunaria rediviva                                .........................11.........
Poa nemoralis                                   .........................+..........
Polypodium vulgare s.str.                       .........................+..........
Angelica sylvestris ssp. sylvestris             ..........................++.+......
Asplenium scolopendrium ssp. scolopendrium      ..........................+.........
Ribes alpinum                                   ..........................r..+......
Sambucus nigra                                  ..........................r.........
Taxus baccata                                   ..........................r+........
Thalictrum aquilegiifolium                      ..........................+..+......
Lonicera nigra                                  ...........................+........
Acer platanoides                                ............................+.......
Carex ferruginea s.str.                         ............................+.3.....
Crepis paludosa                                 ............................+.+.....
Cyanus montanus ssp. montanus                   ............................+++.....
Briza media                                     .............................+......
Carex firma                                     ..............................2..3.1
Hieracium pilosum                               ..............................+.....
Linum catharticum                               ..............................+.....
Parnassia palustris                             ..............................+.....
Petasites paradoxus                             ..............................+.....
Pinguicula alpina                               ..............................+.....
Polygala amarella                               ..............................+.....
Rhodothamnus chamaecistus                       ..............................+..1++
Salix glabra                                    ..............................+.....
Selaginella selaginoides                        ..............................+..+++
Thesium alpinum                                 ..............................+.....
Viola biflora                                   ..............................+....+
Pinus mugo s.str.                               ...............................2111+
Betula pubescens ssp. carpatica s.lat.          ................................+...
Sphagnum capillifolium                       ml ...............................43...
END TABLE
