BEGIN HEAD
plot                                           000000000111111111122222222223333333
Euphorbia cyparissias                          ...r....r..r.......r.r..r.........r.
Koeleria pyramidata                            ...+...........+..................r.
Lotus borbasii                                 ...rr.r.rr....+..r.......r....r...r.
Melampyrum barbatum                            ...r.....1r....r...+....rr2.2....2..
Ornithogalum kochii                            ...rr...r.....rr....................
Pimpinella saxifraga s.str.                    ...r......................r.......r.
Achillea collina                               ...r+.....r...r+r..r....rr........r.
Astragalus australis                           ....r...............................
Avenula pratensis                              ....+...+12+.+.+.......1+32.+21..22.
Vincetoxicum hirundinaria                      ....r....r..r..r..r........r.r.....r
Carex caryophyllea                             ....+...............................
Filipendula vulgaris                           ....2...+.+.......+..r.+.+r..rr....+
Fragaria viridis                               ....1...r...............2.2..r......
Galium verum                                   ....+...+.....rr........r+1..2.....r
Lepidium campestre                             ....r...............................
Phleum phleoides                               ....+..............+....+2+..r......
Poa angustifolia                               ....1...1.+...r..............+......
Prunus spinosa                                 ....2...+...........................
Poa badensis                                   .....+....r................r........
Asperula cynanchica                            .....r.r...................rr.......
Saxifraga tridactylites                        .....r..............................
Taraxacum sect. Erythrosperma                  ......r.............................
Thesium ramosum                                ......r.............r..............r
Helianthemum glabrum                           ......2..........r.2................
Iris pumila                                    ......+..++.........r++....++.r.....
Pulsatilla grandis                             ......r..+2+rr22.....r.....r+.r.2.2.
Sedum sexangulare                              .......+............r.r.............
Jovibarba globifera ssp. hirta                 .......2...................r........
Senecio jacobaea                               ........r........................r..
Trifolium montanum                             ........r................r..........
Avenula pubescens                              ........+.....r...................r.
Brachypodium pinnatum                          ........2.....+...........+..1....2.
Adonis vernalis                                ........2+...............+2...r...2.
Carex michelii                                 ........+.1..............r..........
Dianthus pontederae                            ........rr2..r.+.........r+.+r....r.
Galium glaucum                                 ........+1r..r+2..........r.......+.
Hypochaeris maculata                           ........+.....r.....................
Peucedanum cervaria                            ........1................+..........
Plantago media                                 ........r..........r.....rr.rr....r.
Arrhenatherum elatius                          ........+......2.........+2..1......
Allium flavum                                  .........r..........................
Galium pycnotrichum                            .........r..........................
Genista pilosa                                 .........r+r2..............+....+...
Anthericum ramosum                             .........r.22.................r.+.+.
Arenaria serpyllifolia s.str.                  .........r..........................
Scorzonera austriaca                           .........1.r++.............r........
Securigera varia                               ..........r....r...r.............rr.
Bupleurum falcatum                             ..........r....r...r.+rr+.rrr...r++.
Pseudolysimachion spicatum                     ..........r.........................
Pulsatilla pratensis ssp. nigricans            ..........+.r.22.........+r.........
Scabiosa columbaria                            ..........r.........................
Stipa eriocaulis ssp. austriaca                ...........22.......222.......11+2..
Carlina vulgaris                               ...........r.......................r
Inula ensifolia                                ...........22.....................+.
Inula hirta                                    ...........2+.++..................2.
Leontodon incanus                              ...........+2..............r........
Phyteuma orbiculare                            ...........++.r.....................
Campanula sibirica                             ............r...........r...........
Pimpinella nigra                               ............r.........r.rr..........
Stipa eriocaulis                               .............1......................
Plantago lanceolata                            .............r..r..r.r.rr.r.r.......
Dianthus carthusianorum                        ..............r.....................
Polygonatum odoratum                           ..............r.....................
Thesium linophyllon                            ...............r...r................
Peucedanum oreoselinum                         ...............r....................
Scorzonera hispanica                           ...............r....................
Astragalus onobrychis                          ................+....+...rr..r......
Cuscuta epithymum                              ................2........r...r..r...
Echium vulgare                                 ................r.rr.r.....r....r...
Hieracium pilosella                            ................r....r...........r..
Petrorhagia saxifraga                          ................1.............rrr...
Artemisia campestris                           ................+...................
Carduus nutans                                 ..................r.......+.........
Cynoglossum officinale                         ..................r.................
Alyssum alyssoides                             ..................r.................
Arabis glabra                                  ..................r.................
Seseli osseum                                  ...................rrr..r...........
Calamagrostis epigejos                         ...................r................
Sedum album                                    ....................r...............
Erysimum odoratum                              ....................r...............
Quercus pubescens s.str.                       ....................+.....r...+..++r
Prunus fruticosa                               ......................r.............
Orobanche lutea                                .......................r...rr.r..r.r
Orobanche teucrii                              .......................r...r.......r
Scorzonera purpurea                            .......................r............
Thalictrum minus agg.                          ........................r...........
Tragopogon dubius                              ........................r...........
Verbascum chaixii ssp. austriacum              ........................+...........
Acinos arvensis                                ........................r..........r
Muscari comosum                                ........................rrr.........
Odontites luteus                               ........................r...........
Arabis sagittata                               ........................r...........
Seseli libanotis                               .........................r..........
Thymus odoratissimus                           .........................r......+...
Trifolium rubens                               .........................r..........
Briza media                                    .........................+...+....r.
Orobanche caryophyllacea                       .........................r..........
Verbascum phoeniceum                           ..........................+.........
Dictamnus albus                                ..........................+.........
Thymus praecox ssp. praecox                    ...........................+........
Silene otites                                  ............................r.......
Galium album s.str.                            .............................r......
Ligustrum vulgare                              .............................+......
Melampyrum arvense                             .............................r......
Scabiosa canescens                             ..............................r.....
Erysimum diffusum s.str.                       ................................r.rr
Hieracium hoppeanum                            ................................r...
Ononis pusilla                                 ................................r.r.
Holcus lanatus                                 .................................r..
Tanacetum corymbosum                           ..................................r.
Trifolium alpestre                             ..................................+.
Centaurea triumfettii                          ..................................r.
Geranium sanguineum                            ..................................2.
Melampyrum cristatum                           ..................................2.
Onobrychis arenaria                            ..................................2.
Silene latifolia ssp. alba                     ...................................r
Arabis auriculata                              ...................................r
Rosa canina s.latiss.                          ...................................r
END TABLE
