BEGIN HEAD
plot                                       hhhhhhhhhhhhhhh
Equisetum variegatum                       ......2.2......
Juncus articulatus                         ......+........
Carex elata ssp. elata                     .......1.......
Salix alba                                 .......1.......
Scirpus sylvaticus                         .......3....1..
Valeriana dioica                           .......+...+...
Dactylorhiza majalis ssp. majalis          ........+......
Rhinanthus serotinus s.str.                ........+......
Vicia cracca s.str.                        ........++.++..
Calamagrostis epigejos                     .........2.....
Calamagrostis varia                        .........1.....
Sorbus aucuparia ssp. aucuparia            .........+.....
Cirsium oleraceum                          ..........+....
Dryopteris carthusiana s.str.              ..........+....
Impatiens noli-tangere                     ..........1....
Paris quadrifolia                          ..........++...
Salix triandra ssp. amygdalina             ..........+..+.
Fraxinus excelsior                         ...........r...
Gymnocarpium robertianum                   ...........1...
Maianthemum bifolium                       ...........+...
Oxalis acetosella                          ...........1...
Rubus caesius                              ...........+...
Senecio ovatus ssp. ovatus                 ...........+...
Solidago virgaurea ssp. virgaurea          ...........+...
Alchemilla sp.                             ............+..
Persicaria bistorta                        ............1..
Anthyllis vulneraria ssp. alpicola         .............+.
Campanula patula ssp. patula               .............+.
Medicago lupulina                          .............+.
Verbascum nigrum                           .............+.
Verbascum thapsus s.str.                   .............+.
Caltha palustris                           ..............1
Cardamine amara ssp. austriaca             ..............1
Veronica beccabunga                        ..............+
END TABLE
