BEGIN HEAD
plot                                                    ssssssssssssssssssss
Carpinus betulus                                        ...++......+...1++.+
Cyanus montanus ssp. montanus                           ...r.r....+.+.......
Hieracium murorum                                       ...r.....++.+..+....
Quercus robur                                           ...r................
Berberis vulgaris                                       ....r.....+...++....
Carex humilis                                           ....+2r+.24234432555
Epipactis helleborine s.lat.                            ....+..........+....
Hieracium bifidum                                       ....r+r...+++.++.+..
Ligustrum vulgare                                       ....r+...++++.++++++
Melampyrum nemorosum s.str.                             ....r....r..........
Melampyrum pratense                                     ....++...+..++++....
Origanum vulgare ssp. vulgare                           ....r2.+.+++2+1+1+++
Taxus baccata                                           ....r....+r+.r.r....
Amelanchier ovalis                                      .....r...+++..++....
Aposeris foetida                                        .....+......++++....
Carex flacca ssp. flacca                                .....2.1..+.+1.1..+2
Carex montana                                           .....+...+.r....r...
Crataegus monogyna                                      .....+..........+...
Epipactis atrorubens                                    .....+...++r++.+r.+.
Fragaria vesca                                          .....+r..++++..+.1++
Galium mollugo s.str.                                   .....r.11.+..++++.++
Hieracium sabaudum                                      .....r...r..r+.r...r
Hypericum montanum                                      .....r...+..........
Lilium martagon                                         .....+........r.....
Molinia caerulea agg.                                   .....3.1..+.++.+...1
Rosa canina s.str.                                      .....+.+..+.++1++.++
Rosa canina var. blondeana                              .....r..............
Rubus sect. Rubus                                       .....+...r..+111++++
Rubus sp.                                               .....r.+............
Tilia × vulgaris (=T. cordata × platyphyllos)           .....+....+.+.......
Tilia cordata                                           .....+..............
Viola × bavarica (=V. reichenbachiana × riviniana)      .....r...+........r.
Viola collina                                           .....r...++++r++1+++
Viola riviniana                                         .....+......+..++...
Arabidopsis arenosa                                     ......++............
Digitalis grandiflora                                   ......+.............
Atropa bella-donna                                      .......r............
Brachypodium pinnatum s.str.                            .......2....+1..+.+2
Clinopodium alpinum ssp. alpinum                        .......r............
Clinopodium vulgare ssp. vulgare                        .......+............
Galeobdolon flavidum                                    .......+2..2........
Teucrium chamaedrys ssp. chamaedrys                     .......r+1+.++..+.1+
Asplenium trichomanes ssp. quadrivalens                 ........r++.+...r...
Cardamine impatiens                                     ........+...........
Dryopteris filix-mas s.str.                             ........rr..........
Polystichum aculeatum s.str.                            ........r...........
Anthericum ramosum                                      .........r..+1..++..
Cotoneaster tomentosus                                  .........+r......r..
Erica carnea                                            .........3..........
Lathyrus pratensis ssp. pratensis                       .........r..........
Polygala chamaebuxus                                    .........2.++.....1.
Potentilla erecta                                       .........+..........
Rosa micrantha                                          .........++..+......
Rosa pendulina                                          .........1..1.......
Rubus saxatilis                                         .........+..........
Viola reichenbachiana                                   .........+......+...
Viola hirta                                             ..........+.........
Carex ornithopoda ssp. ornithopoda                      ...........+....+r..
Globularia cordifolia s.str.                            ...........r........
Knautia maxima ssp. maxima                              ...........r........
Lathyrus vernus                                         ...........r.+......
Potentilla caulescens ssp. caulescens                   ...........r........
Quercus × rosacea                                       ...........+........
Sesleria caerulea s.str.                                ...........+..+.....
Laserpitium siler ssp. siler                            ............+.rr....
Epilobium montanum                                      .............r......
Euphorbia cyparissias                                   .............+......
Leontodon incanus                                       .............+......
Rubus idaeus                                            ...............+....
Achnatherum calamagrostis                               ................+++.
Cephalanthera rubra                                     ................r...
Verbascum thapsus s.str.                                .................r..
Teucrium montanum                                       ..................r.
Galium boreale s.str.                                   ...................+
Ctenidium molluscum s.lat.                           ml .....+..............
Tortella tortuosa                                       .....+...++.........
Polytrichum sp.                                         .........+..........
END TABLE
