BEGIN HEAD
plot                                     bbbbbbbbbbbbbbbbbbbbbbbbbbbb
Calamagrostis epigejos                   ...............1............
Carex leporina                           ...............+............
Cirsium palustre                         ...............+............
Cirsium vulgare                          ...............+.r..........
Epilobium ciliatum ssp. ciliatum         ...............+............
Erigeron annuus ssp. annuus              ...............2.+..........
Festuca pratensis s.str.                 ...............1............
Festuca rubra agg.                       ...............115..........
Hypericum perforatum                     ...............+++..........
Hypochaeris radicata                     ...............r............
Juncus tenuis                            ...............+............
Lotus corniculatus s.str.                ...............1+1..........
Phleum pratense s.str.                   ...............+............
Prunella vulgaris                        ...............+............
Ranunculus repens                        ...............1............
Tanacetum vulgare                        ...............1............
Trifolium pratense ssp. pratense         ...............1............
Trisetum flavescens ssp. flavescens      ...............+............
Tussilago farfara                        ...............+.1..........
Alnus glutinosa                          ................+...........
Alnus incana                             ................+...........
Anthoxanthum odoratum s.str.             ................2...........
Hieracium murorum                        ................+...........
Lycopodium clavatum ssp. clavatum        ................1...........
Populus tremula                          ................++..........
Salix purpurea                           ................+...........
Cerastium holosteoides                   .................+..........
Plantago lanceolata                      .................+..........
Galeopsis pubescens ssp. pubescens       ..................1..+......
Persicaria minor                         ..................+.........
Rubus idaeus                             ..................2+........
Dryopteris dilatata                      ...................+..+...+.
Erechtites hieraciifolia                 ...................+........
Campylopus flexuosus                  ml +1.+.111.1+11.+........1....
Hylocomium splendens                     22.1.22..3....2...+21121222.
Hypnum cupressiforme                     +2.11.1221+2+42.......+....1
Leucobryum glaucum                       +1.+++.+.+....+.....+.++213.
Pleurozium schreberi                     11.1223212.11.2...12.113232.
Polytrichum formosum                     +1++1+31.21..21...+2+.1122+1
Dicranum scoparium                       .1..+1.+.1.21.1...+1.++2.11.
Sphagnum capillifolium                   .+....1..1.1..+.............
Bazzania trilobata                       ......2..1....1.........+.+.
Hypnum jutlandicum                       ...................41.131121
Thuidium tamariscinum                    ...................+..+.1.1.
Hypnum andoi                             .....................+..+...
Eurhynchium striatum                     ......................+...1+
Atrichum undulatum                       ...........................+
END TABLE
