BEGIN HEAD
plot                                      wwwwwwwwwwwwwwwwwwwwwwwwwww
Acer campestre                            .................++........
Aegopodium podagraria                     .................+.........
Ajuga reptans                             .................1+........
Angelica sylvestris ssp. sylvestris       .................+.+.......
Brachypodium sylvaticum                   .................11........
Calamagrostis varia                       .................+.........
Carex alba                                .................+.........
Equisetum arvense                         .................+.2.......
Eupatorium cannabinum                     .................+121+.+..1
Fragaria vesca                            .................2.........
Solidago gigantea ssp. serotina           .................+...11.+..
Betula pendula                            ..................+++......
Clematis vitalba                          ..................+........
Crataegus monogyna                        ..................+........
Geranium robertianum s.str.               ..................+........
Juncus tenuis                             ..................+.......+
Potentilla reptans                        ..................+........
Artemisia vulgaris                        ...................1.......
Cirsium arvense                           ...................+11+2++.
Cirsium palustre                          ...................++2.....
Cornus sanguinea ssp. sanguinea           ...................++......
Daucus carota ssp. carota                 ...................+.......
Erigeron annuus ssp. annuus               ...................1221...+
Erigeron canadensis                       ...................21.2.+2.
Festuca rubra ssp. rubra                  ...................1.......
Populus tremula                           ...................+..2....
Salix alba                                ...................+..+....
Salix appendiculata s.str.                ...................+.......
Salix eleagnos ssp. eleagnos              ...................+.......
Salix purpurea                            ...................+..+...+
Tussilago farfara                         ...................12+2.222
Viburnum opulus                           ...................++......
Epilobium ciliatum ssp. ciliatum          ....................+...++1
Epilobium hirsutum                        .....................1+....
Euphorbia cyparissias                     .....................+.....
Leucanthemum ircutianum                   .....................+.....
Poa pratensis                             .....................1.....
Prunella vulgaris                         .....................+..+.1
Ranunculus repens                         .....................1...11
Scrophularia nodosa                       .....................+..++.
Trifolium pratense ssp. pratense          .....................1....+
Vicia sepium                              .....................+.....
Carex leporina                            ......................+...+
Carpinus betulus                          ......................21..1
Cirsium vulgare                           ......................+...+
Cytisus scoparius ssp. scoparius          .......................1..+
Lupinus polyphyllus                       .......................+.+1
Carex sylvatica ssp. sylvatica            ........................+..
Taraxacum sect. Ruderalia                 ........................+..
Agrostis stolonifera s.str.               .........................21
Cerastium holosteoides                    .........................+.
Galinsoga ciliata                         .........................2.
Medicago lupulina                         .........................+2
Mentha arvensis                           .........................++
Persicaria mitis                          .........................4.
Plantago major ssp. major                 .........................1.
Sphagnum girgensohnii                  ml ...1+...112...211..........
END TABLE
