BEGIN HEAD
plot                                      wwwwwwwwwwwwwwwwwwwwwwwwwww
Acer campestre                            .................++........
Equisetum arvense                         .................+.2.......
Solidago gigantea ssp. serotina           .................+...11.+..
Eupatorium cannabinum                     .................+121+.+..1
Fragaria vesca                            .................2.........
Calamagrostis varia                       .................+.........
Brachypodium sylvaticum                   .................11........
Ajuga reptans                             .................1+........
Aegopodium podagraria                     .................+.........
Angelica sylvestris ssp. sylvestris       .................+.+.......
Carex alba                                .................+.........
Crataegus monogyna                        ..................+........
Betula pendula                            ..................+++......
Clematis vitalba                          ..................+........
Geranium robertianum s.str.               ..................+........
Juncus tenuis                             ..................+.......+
Potentilla reptans                        ..................+........
Salix alba                                ...................+..+....
Populus tremula                           ...................+..2....
Cornus sanguinea ssp. sanguinea           ...................++......
Salix appendiculata s.str.                ...................+.......
Viburnum opulus                           ...................++......
Salix eleagnos ssp. eleagnos              ...................+.......
Salix purpurea                            ...................+..+...+
Festuca rubra ssp. rubra                  ...................1.......
Daucus carota ssp. carota                 ...................+.......
Erigeron annuus ssp. annuus               ...................1221...+
Tussilago farfara                         ...................12+2.222
Erigeron canadensis                       ...................21.2.+2.
Artemisia vulgaris                        ...................1.......
Cirsium arvense                           ...................+11+2++.
Cirsium palustre                          ...................++2.....
Epilobium ciliatum ssp. ciliatum          ....................+...++1
Poa pratensis                             .....................1.....
Prunella vulgaris                         .....................+..+.1
Vicia sepium                              .....................+.....
Trifolium pratense ssp. pratense          .....................1....+
Leucanthemum ircutianum                   .....................+.....
Euphorbia cyparissias                     .....................+.....
Scrophularia nodosa                       .....................+..++.
Ranunculus repens                         .....................1...11
Epilobium hirsutum                        .....................1+....
Carpinus betulus                          ......................21..1
Cirsium vulgare                           ......................+...+
Carex leporina                            ......................+...+
Cytisus scoparius ssp. scoparius          .......................1..+
Lupinus polyphyllus                       .......................+.+1
Taraxacum sect. Ruderalia                 ........................+..
Carex sylvatica ssp. sylvatica            ........................+..
Agrostis stolonifera s.str.               .........................21
Persicaria mitis                          .........................4.
Galinsoga ciliata                         .........................2.
Cerastium holosteoides                    .........................+.
Plantago major ssp. major                 .........................1.
Medicago lupulina                         .........................+2
Mentha arvensis                           .........................++
Sphagnum girgensohnii                  ml ...1+...112...211..........
END TABLE
