BEGIN HEAD
plot                                               ssssssssssssssssssssssssssssss
Apera spica-venti                                  ..r.r.........................
Brassica napus                                     ..r...........................
Bromus hordeaceus ssp. hordeaceus                  ..1+11..................+r....
Capsella bursa-pastoris s.str.                     ..+.....................+.....
Cyanus segetum                                     ..1.+.................r.1.....
Daucus carota ssp. carota                          ..+111.r..............+1......
Echinochloa crus-galli s.lat.                      ..1.1.............+21.1.......
Erigeron annuus ssp. annuus                        ..2212+1..r.+..+...+.1.r..+...
Erigeron canadensis                                ..r................r1.....+...
Festuca rubra agg.                                 ..++.1+21211+11222+1.1........
Galinsoga ciliata                                  ..r.r.r...........1.3.+...2...
Geranium columbinum                                ..r...........................
Juncus inflexus                                    ..rr..........................
Matricaria chamomilla                              ..2.2...................4.....
Mentha arvensis                                    ..r...+.+r..+++...2++.++......
Papaver rhoeas                                     ..1.1.............r.....2.....
Poa annua ssp. annua                               ..+.+..............+..........
Rhinanthus minor                                   ..r.rr..r.+1+.rr+r.r....+1....
Rhinanthus serotinus s.str.                        ..r.r...r+.1...........rrr....
Silene dioica                                      ..r.r..................+......
Tripleurospermum inodorum                          ..+12+.............r..1rrrr...
Tussilago farfara                                  ..+..rr...rrrr....+2..r...1...
Veronica anagallis-aquatica s.str.                 ..r...........................
Veronica arvensis                                  ..r.....................r.+...
Vicia cracca s.str.                                ..r+rr.............+..rr......
Cynosurus cristatus                                ...rr+121211121111.++1+.++....
Eupatorium cannabinum                              ...r............r.............
Homalotrichon pubescens ssp. pubescens             ...r.r.....+.+.+.....r........
Hypochaeris radicata                               ...r..rr++....rr+r........r...
Knautia arvensis ssp. arvensis                     ...+.................r........
Lychnis flos-cuculi                                ...r..rr.r+rr..rr..+..........
Poa pratensis                                      ...r.....r+r...+..............
Rumex acetosa                                      ...r......+1++++++.....r......
Sanguisorba minor ssp. minor                       ...r..........................
Scorzoneroides autumnalis                          ...rr.........................
Tragopogon orientalis                              ...1.........r.r+r............
Trisetum flavescens ssp. flavescens                ...r..++++++r++1++...+.+.1....
Elytrigia repens                                   ....1.........................
Myosotis arvensis ssp. arvensis                    ....+...................r.r...
Salix purpurea                                     ....r...rr..r...r..r..........
Briza media                                        .....r++.....+.+..............
Centaurium pulchellum                              ......r.......................
Linum catharticum                                  ......r.......................
Rumex obtusifolius ssp. obtusifolius               ......r...........r.1.+.+.....
Campanula patula ssp. patula                       .......r..++r.rrr..rrr........
Ranunculus nemorosus                               .......r......................
Bidens frondosa                                    ........+.........+.r.r.......
Salix alba                                         ........r.....r.....r.........
Salvia pratensis ssp. pratensis                    ........rr....................
Scrophularia nodosa                                ........rr........r.r.r.+r+...
Urtica dioica ssp. dioica                          ........r.....................
Lamium purpureum                                   ..........+...................
Verbena officinalis                                ............r.................
Carex hirta                                        ..............r+.......r......
Rhinanthus alectorolophus ssp. alectorolophus      ..............+1+1.r..........
Silene vulgaris ssp. vulgaris                      ..............r...............
Deschampsia cespitosa                              ...............r..rr........+1
Agrostis capillaris                                ................+r............
Stellaria nemorum s.str.                           ................r.............
Trifolium hybridum ssp. hybridum                   ................+r............
Brachypodium sylvaticum                            .................+..........11
Chenopodium album s.lat.                           ..................2.2.+...2...
Microrrhinum minus s.str.                          ..................r.+.r.......
Persicaria maculosa                                ..................2.1.r.......
Carex panicea                                      ...................r..........
Cerastium glomeratum                               ...................+r.....r...
Cirsium rivulare                                   ...................r..........
Stellaria aquatica                                 ...................+..r.......
Hypericum tetrapterum                              ....................r.........
Lactuca serriola                                   ....................r...r.+...
Lysimachia nemorum                                 ....................r.........
Panicum capillare                                  ....................+.+.......
Raphanus sativus                                   ....................r.........
Setaria viridis var. viridis                       ....................+.........
Sinapis alba ssp. alba                             ....................+.........
Stachys sylvatica                                  ....................r......r+.
Agrostis gigantea                                  .....................r........
Carum carvi                                        ......................r+......
Chenopodium polyspermum                            ......................r.......
Heracleum sphondylium ssp. sphondylium             ......................11......
Pimpinella major var. major                        ......................r+......
Myosotis sp.                                       .......................r......
Betula pendula                                     ........................r.....
Fraxinus excelsior                                 ........................r..1++
Lapsana communis s.lat.                            ........................+.....
Silene sp.                                         ........................+.....
Acer pseudoplatanus                                .........................r.21.
Avena sativa ssp. sativa                           ..........................+...
Cardamine hirsuta                                  ..........................r...
Epilobium parviflorum                              ..........................r...
Persicaria sp.                                     ..........................r...
Aegopodium podagraria                              ...........................+..
Allium ursinum ssp. ursinum                        ...........................553
Anemone nemorosa                                   ...........................rr+
Anemone ranunculoides                              ...........................r..
Arum maculatum                                     ...........................rr+
Corylus avellana                                   ...........................+++
Crataegus monogyna                                 ...........................r+.
Galeobdolon montanum                               ...........................211
Geum urbanum                                       ...........................++1
Paris quadrifolia                                  ...........................r.1
Polygonatum multiflorum                            ...........................r+.
Prunus padus ssp. padus                            ...........................+1+
Rubus caesius                                      ...........................+22
Sambucus nigra                                     ...........................+r.
Symphytum tuberosum s.lat.                         ...........................r1.
Viburnum opulus                                    ...........................r++
Carex acutiformis                                  ............................r+
Carex pendula                                      ............................r1
Carex sylvatica ssp. sylvatica                     ............................+1
Circaea lutetiana ssp. lutetiana                   ............................++
Cornus sanguinea ssp. sanguinea                    ............................+1
Euonymus europaeus                                 ............................r.
Euphorbia dulcis                                   ............................r.
Galium aparine s.str.                              ............................+.
Impatiens glandulifera                             ............................r+
Lamium maculatum                                   ............................r.
Ligustrum vulgare                                  ............................r.
Tilia cordata                                      ............................1.
Ulmus glabra                                       ............................++
Carpinus betulus                                   .............................+
Circaea alpina                                     .............................r
Ficaria verna ssp. verna                           .............................+
Hedera helix                                       .............................r
Primula elatior s.str.                             .............................1
Viola reichenbachiana                              .............................r
Corylus avellana                                sl ...........................323
Crataegus monogyna                                 ...........................++.
Prunus padus ssp. padus                            ...........................112
Sambucus nigra                                     ...........................1..
Acer pseudoplatanus                                ............................1.
Cornus sanguinea ssp. sanguinea                    ............................r4
Euonymus europaeus                                 ............................r.
Fraxinus excelsior                                 ............................++
Tilia cordata                                      ............................1.
Ulmus glabra                                       ............................++
Carpinus betulus                                   .............................r
Viburnum opulus                                    .............................1
Acer pseudoplatanus                            tl1 ...........................2..
Fraxinus excelsior                                 ...........................313
Quercus robur                                      ...........................342
Populus × canadensis s.lat.                        ............................1.
Acer pseudoplatanus                            tl2 ...........................23.
Fraxinus excelsior                                 ...........................21r
Carpinus betulus                                   .............................2
Quercus robur                                      .............................1
END TABLE
