BEGIN HEAD
plot                                               wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
Hippocrepis emerus ssp. emerus                     ........+.++.+1++112+.1++1+1r...++..
Ligustrum vulgare                                  ..........2+++12222211+.......+12+..
Tilia × vulgaris (=T. cordata × platyphyllos)      ..........+...+++1..................
Acer platanoides                                   ...........+....+........+..........
Cotoneaster tomentosus                             ...........+........................
Malus sylvestris                                   ...........r........................
Euonymus europaeus                                 .............+.+++...+..............
Hedera helix                                       .............+..11++.1..............
Prunus avium s.lat.                                .............+..1.............+.....
Taxus baccata                                      .............++++++...........+.11..
Rosa elliptica                                     ..............+.....................
Crataegus monogyna                                 ...............++1++...........r+...
Juniperus communis ssp. communis                   ...............+....................
Rosa canina s.str.                                 .................+r+.++++......r.+..
Sorbus aucuparia ssp. aucuparia                    ..................+.....+...........
Populus tremula                                    .......................r............
Euonymus latifolius                                ........................+.......1...
Rosa pendulina                                     ........................1...........
Lactuca muralis                                    .........................+..........
Sambucus nigra                                     .........................+1........r
Rosa micrantha                                     ..............................r..+..
Juglans regia                                      ...............................r..r.
Allium lusitanicum                              hl +..+.+....+.2++..+r.+1......+.+...+.
Amelanchier ovalis                                 r+.+1..1.+++..+..+++.++++...+.+++++.
Anthericum ramosum                                 +1.+1++21.+r++1111++++11....1....1..
undeterminded bryophytes                           1...................................
Buphthalmum salicifolium                           11.+.+11+r211121+11+++1+++..+.122++.
Carex digitata                                     ++....+.+.+++1+.1++.++++++++.++++...
Coronilla vaginalis                                +...........+........++1....r.......
Globularia cordifolia s.str.                       +.++++.+..r..r....r..211....1....+..
Juniperus sabina                                   444445..............2+..............
Origanum vulgare ssp. vulgare                      ++....+.1+++1111111+2+11++.r2.+2++1.
Sesleria caerulea s.str.                           2112122221112222+31122322+.r1.+++21.
Teucrium montanum                                  ++++++..+.r.1.+...+..1++....1.1.r+..
Thalictrum minus s.lat.                            121++.r+..2+3.......21...+.++....+..
Vincetoxicum hirundinaria                          +1.+++111+113+1111+1.r+111++2+11112.
Carex alba                                         .2....221112+2222222+.1+2+++.1222...
Carex ornithopoda ssp. ornithopoda                 .+..++.+.....+....+...++....+.+r+++.
Cyclamen purpurascens                              .r1..++++1+++1+1+121.r+rrrrrrr++++rr
Dianthus carthusianorum ssp. carthusianorum        .+..+.....r.1........+..............
Euphorbia cyparissias                              .+..+..++.+.+.......++......+.....+.
Galium anisophyllon                                .+.....++.++1+++.+...+.1...r1.+++++.
Galium truniacum                                   .+...+................+.......r++...
Hippocrepis emerus ssp. emerus                     .r+1r.2+1+11.++++1121.+1+1++++++11+.
Laserpitium latifolium ssp. latifolium             .+...1r.++1+......r+.++.2.r......+..
Polygala chamaebuxus                               .22...++++++++++.121..111..r+.+++++.
Rhamnus cathartica                                 .+...+++++1++21++1+++++++...+.+++++.
Silene nutans ssp. nutans                          .+...+....+.++++.+..++......+.+r....
Asplenium trichomanes ssp. quadrivalens            ..+.......rr.r++++++.r.+.+++..++++..
Kernera saxatilis                                  ..r...r...++.r....++.+...+r++....+..
Polygonatum odoratum                               ..1...r11.+r+.+..+r++++2.r..+.++r1..
Carex humilis                                      ...2.....r.......................24.
Carex mucronata                                    ...1................................
Hippocrepis comosa                                 ...2.............................+..
Potentilla caulescens ssp. caulescens              ...+++....r.......r...+..r.......+..
Sedum album                                        ...+.+.....++r.+.+++.+++....+.+..+..
Hieracium bupleuroides                             ....++...............r..............
Leontodon incanus                                  ....++r..............+...........+..
Tortella tortuosa                                  ....+...............................
Asplenium ruta-muraria                             .....++...++++++++++.r+.r++.+.+++++.
Carduus defloratus ssp. viridis                    .....+++1.1+1++++11+++++++.r1.+++++r
Clinopodium alpinum ssp. alpinum                   .....+.++...+.+...r..2.+....1.211++.
Erica carnea                                       .....+.214r..+3..+++.++12+..+...r...
Abies alba                                         ......+..................+.+....r...
Acer pseudoplatanus                                ......++..++.++++..+...+.+.++++++.++
Aposeris foetida                                   ......+.............................
Asplenium trichomanes ssp. pachyrhachis            ......r.............................
Brachypodium sylvaticum                            ......+...++.++.1++........+.r+++++1
Calamagrostis varia                                ......22.222.22232221+1+.+.+.+12211.
Cephalanthera longifolia                           ......+++r++r+r++.r...1.+..++++.+...
Clematis vitalba                                   ......+...++.+.+.+++.......+.r..+++.
Convallaria majalis ssp. majalis                   ......2.++........r...++2...........
Cornus sanguinea s.lat.                            ......++1.++..+.++++..+++...........
Corylus avellana                                   ......+.+++.+.++++++..++++.++r+++++.
Daphne mezereum                                    ......+.................+r.+....r...
Digitalis grandiflora                              ......+...++.+++++++..........r+.+..
Dryopteris filix-mas s.str.                        ......r.............................
Epipactis atrorubens                               ......++++..r.........1+....+..r.r..
Epipactis helleborine s.lat.                       ......+.++++.+.+..r........+........
Euonymus latifolius                                ......r.................++r..++.+...
Fagus sylvatica                                    ......++++..+r....++...++++++++++..+
Fragaria vesca                                     ......+.++++++++++.+...++..++.+++++.
Fraxinus excelsior                                 ......+++.++++.+++++.+....+.+++.+r++
Galium sylvaticum s.str.                           ......++.+.+......++....++r.........
Hedera helix                                       ......+...++.1.+1211.1+.r1++.r..+...
Helleborus niger                                   ......2+.....1+12+22.....++1+11.+r..
Hepatica nobilis                                   ......2+++++.11++1++..+rr++++++++++.
Hieracium bifidum                                  ......+++.++.++.+.++..+.++r.+.+++++.
Lonicera xylosteum                                 ......+.+.++.+.+1++++.+.+.+..++..r..
Melampyrum sylvaticum s.str.                       ......+.+...........................
Melica nutans s.str.                               ......1+..++.+.++.++..++.+++.++++...
Mercurialis perennis s.str.                        ......1+.+++.++++.+.++..r+1...r11.++
Moehringia muscosa                                 ......r...++r+.+++...+...++r..rr+.r+
Picea abies                                        ......+++..+..+...+.....+.....r+r.r.
Pimpinella major var. major                        ......r....+....+..+................
Prenanthes purpurea                                ......+..+......+.++.....r.+.+......
Rubus sect. Rubus                                  ......+.+++.......+....++.....+.r...
Salvia glutinosa                                   ......+...++.+.++r++......+...+++r+2
Solidago virgaurea ssp. virgaurea                  ......++.++1.+++++++.....+r..+r+....
Sorbus aria s.str.                                 ......++.+.++.++..+.+..+....+++++++.
Sorbus aucuparia ssp. aucuparia                    ......++.......++.............+++...
Tilia platyphyllos                                 ......+....+......+......+..........
Ulmus glabra                                       ......+....+.+..++++......+.....+..+
Valeriana tripteris                                ......1..+.1.......+.....+r+.r......
Viburnum lantana                                   ......+.+..+.+++.+++..+.+..+........
Frangula alnus                                     .......+.+.++++.......+++...........
Gymnadenia conopsea ssp. conopsea                  .......+....+.......................
Hypericum perforatum                               .......+....+...............+.+.+.+.
Molinia caerulea agg.                              .......+52............1+3...........
Quercus robur                                      .......+++......+.++..+++..+...+....
Taxus baccata                                      .......+.....+++.+++.....+.+..++++r.
Vaccinium myrtillus                                .......+.1.............+r...........
Cotoneaster tomentosus                             ........r+..............r...........
Danthonia decumbens s.lat.                         ........r...........................
Rosa canina s.str.                                 ........+.r..........+++++....+++...
Teucrium chamaedrys ssp. chamaedrys                ........+...+.....................+.
Calluna vulgaris                                   .........+.............r............
Ctenidium molluscum s.lat.                         .........+..........................
Hieracium murorum                                  .........+.+...+..r+....+....+++..+.
Hieracium sabaudum                                 .........r+...+r.+.....rr.....r.....
Prunus avium s.lat.                                .........+...+..+...................
Rosa pendulina                                     .........+r............+++..........
Arabis hirsuta s.str.                              ..........+.+......r.............+..
Campanula trachelium                               ..........++.+.++++1.....+++....++..
Cephalanthera rubra                                ..........r....r...........r.r......
Galium album s.str.                                ..........+.r............+..+.r+++++
Ligustrum vulgare                                  ..........1+++11121111+..+++.r1+1+..
Silene vulgaris ssp. vulgaris                      ..........++........3+...+..+.......
Tilia × vulgaris (=T. cordata × platyphyllos)      ..........+..+......................
Viola hirta                                        ..........+.......++................
Viola reichenbachiana                              ..........++..................r.....
Acer platanoides                                   ...........+.+.+..++.......+.+......
Asplenium trichomanes s.lat.                       ...........+.......+................
Berberis vulgaris                                  ...........+.+++.+...++++...+..++++.
Cephalanthera damasonium                           ...........r.r......................
Galium mollugo s.str.                              ...........+.+++++..2+..+...........
Lilium martagon                                    ...........+........................
Allium carinatum                                   ............+....................+..
Melica ciliata s.str.                              ............1.......1+......r.+r..r.
Phyteuma orbiculare s.str.                         ............r......+................
Rhinanthus glacialis                               ............+.................2+....
Viola pyrenaica                                    ............+.................1++r..
Viola riviniana                                    ............+......+.............r..
Arabidopsis arenosa                                .............+++.+..................
Brachypodium pinnatum s.str.                       .............+......................
Campanula persicifolia                             .............+.+++r.................
Campanula rapunculoides ssp. rapunculoides         .............r.+++........r.........
Euonymus europaeus                                 .............+.+++...+..+...++......
Lactuca muralis                                    .............+r.+.+......r++....rr.+
Polypodium vulgare s.str.                          .............r++.+.+.......r.......r
Rubus idaeus                                       .............+....+.................
Festuca amethystina ssp. amethystina               ..............r.....................
Bromus benekenii                                   ...............++1..................
Clinopodium vulgare ssp. vulgare                   ...............+.+..................
Cotoneaster divaricatus                            ...............r....................
Geranium robertianum s.str.                        ...............+..+++....++.....+..1
Inula conyzae                                      ...............rr+.r................
Rosa micrantha                                     ...............r....................
Veronica chamaedrys ssp. micans                    ...............+....................
Viola collina                                      ...............r.+++r.+....r+.1+.r+.
Valeriana montana                                  ................r...................
Crataegus monogyna                                 .................+.+....+.......+...
Juniperus communis ssp. communis                   ..................r.................
Knautia maxima ssp. maxima                         ..................r+................
Rosa arvensis                                      ..................r+..........++....
Campanula rotundifolia agg.                        ...................r................
Carex flacca ssp. flacca                           ...................+..+.+....+11...r
Centaurea scabiosa ssp. scabiosa                   ....................+...............
Poa nemoralis                                      ....................r...............
Arabis ciliata                                     .....................+..............
Rubus canescens                                    ......................++............
Galium lucidum                                     .......................+............
Rosa villosa s.str.                                .......................+............
Rubus saxatilis                                    .......................+............
Galeobdolon flavidum                               .........................22.........
Sambucus nigra                                     .........................++........+
Carex brachystachys                                ...........................r........
Orobanche reticulata s.lat.                        ............................r.......
Poa compressa                                      ............................+.......
Rosa elliptica                                     ............................r.......
Ajuga reptans                                      .............................+......
Cardamine bulbifera                                .............................1......
Cardamine enneaphyllos                             .............................r......
Galeobdolon montanum                               .............................r.....2
Phyteuma spicatum ssp. spicatum                    .............................+......
Viburnum opulus                                    .............................r......
Orchis mascula ssp. speciosa                       ..............................r.+.+.
Thymus praecox ssp. polytrichus                    ..............................+.....
Achillea millefolium agg.                          ...............................r....
Melampyrum pratense                                ...............................r....
Carlina biebersteinii ssp. biebersteinii           ................................r...
Rubus caesius                                      ................................r...
Actaea spicata                                     ...................................+
Aruncus dioicus                                    ...................................r
Asplenium scolopendrium ssp. scolopendrium         ...................................2
Cardamine impatiens                                ...................................1
Cystopteris fragilis s.str.                        ...................................r
Galium odoratum                                    ...................................2
Gymnocarpium robertianum                           ...................................r
Oxalis acetosella                                  ...................................+
Pulmonaria officinalis s.str.                      ...................................1
Senecio nemorensis s.lat.                          ...................................r
Urtica dioica ssp. dioica                          ...................................+
undeterminded bryophytes                        ml .22.................................
Tortella tortuosa                                  ...+..............1..++++...........
Schistidium sp.                                    ....+...............................
Neckera crispa                                     ......2..1....+...21..+++1+.........
Ctenidium molluscum s.lat.                         ..............+...21....+++.........
Rhytidium rugosum                                  .....................1++............
END TABLE
