BEGIN HEAD
plot                                          sssssssssssssssssssss
Veratrum album ssp. album                     .......r.....r.......
Neottia nidus-avis                            ........r........rr..
Aruncus dioicus                               .........r...........
Cardamine bulbifera                           .........+.......r...
Cystopteris fragilis s.str.                   .........r...........
Primula elatior s.str.                        .........r...........
Carex digitata                                ..........rr+..1+....
Cephalanthera longifolia                      ............r.+.+.r..
Aposeris foetida                              .............r.......
Galium odoratum                               .............++++..+.
Asplenium trichomanes ssp. quadrivalens       ..............r......
Carex ornithopoda ssp. ornithopoda            ..............r......
Hepatica nobilis                              ..............1......
Carduus defloratus ssp. viridis               ...............r.....
Epipactis atrorubens                          ...............r.....
Euphorbia cyparissias                         ...............+.....
Lathyrus pratensis ssp. pratensis             ...............r.....
Veronica officinalis                          ...............r....r
Viola collina                                 ...............r.....
Angelica sylvestris ssp. sylvestris           ................r....
Listera ovata                                 ................r....
Viola biflora                                 ................+....
Lycopodium annotinum                          ..................r..
Poa nemoralis                                 ..................r..
Arrhenatherum elatius                         ....................r
Campanula patula ssp. patula                  ....................r
Carex pallescens                              ....................r
Fagus sylvatica                            sl .122..1.........+....
Betula pendula                                ..r..................
Larix decidua                                 ..r..................
Picea abies                                   ..2r..........+...2..
Salix caprea                                  ..r..................
Fraxinus excelsior                            ...r.................
Ulmus glabra                                  ...r.................
Abies alba                                tl1 .2...22.1........2...
Fagus sylvatica                               .2...3.11422.23...3..
Larix decidua                                 ....1.....1.1.....+1.
Picea abies                                   ....53242255533552241
Acer pseudoplatanus                           .........2...........
Abies alba                                tl2 .2...11..............
Fagus sylvatica                               .4...2334212.4..132..
Acer pseudoplatanus                           ...1..1..1.......2...
Larix decidua                                 ...1.................
Picea abies                                   ...52.312111212212225
END TABLE
