BEGIN HEAD
plot                                              aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
Eriophorum latifolium                             ...r33.........2+2.......2+......
Juncus inflexus                                   ...1............1.r......++..11..
Mentha longifolia                                 ...1....1........r...+...r1..3.+.
Veronica beccabunga                               ...rr...r.......................+
Alchemilla glabra                                 ....+r.+.............+....+..+...
Carex paniculata ssp. paniculata                  ....1+.+....+..+1+........1..1..r
Dactylorhiza maculata s.lat.                      ....1..........r.rrr.r...........
Equisetum palustre                                ....r..........+1.r..............
Geum rivale                                       ....r...........1.............r..
Hypericum tetrapterum                             ....r.....................r......
Mentha × verticillata s.str.                      ....r+...........r...............
Primula elatior s.str.                            ....r.....r....r++r.rr...rr..+...
Carex flacca ssp. flacca                          .....+.........1++..rr...++..r...
Polygala amarella                                 .....1.........+.........r.......
Chaerophyllum hirsutum s.str.                     ......++.1+..+.....1.......+....+
Ranunculus aconitifolius                          .......r....................r...1
Vicia sepium                                      ........+............r..r.....++.
Achillea millefolium agg.                         .........+.+.+1...1++..+.........
Bellis perennis                                   .........+.+..+.+.....+..........
Dactylis glomerata ssp. glomerata                 .........1+1.12...+11+112..+.....
Heracleum sphondylium ssp. sphondylium            .........+.+.22...+1+++24........
Rumex obtusifolius ssp. obtusifolius              .........r....r........r1........
Lysimachia nemorum                                ..........+...............r......
Centaurea jacea ssp. jacea                        ...........r.....................
Crepis aurea ssp. aurea                           ...........1.+r....+.1..2........
Festuca nigrescens                                ...........+.2.....1.............
Rhinanthus alectorolophus ssp. alectorolophus     ...........+..2rr.2.2r++r........
Cirsium oleraceum                                 ............r....................
Potentilla reptans                                ............r.....+...+.......+..
Crepis biennis                                    .............+1.....1..2.........
Hypericum maculatum s.str.                        .............+.....1.1...........
Aegopodium podagraria                             ..............r.........1........
Chaerophyllum aureum                              ..............r..................
Lolium perenne                                    ..............2.....11.22........
Pimpinella major var. major                       ..............+...+..............
Veronica serpyllifolia ssp. serpyllifolia         ..............+.........r........
Blysmus compressus                                ...............2+.....r..12......
Carex hostiana                                    ...............+.+.......1.......
Eleocharis quinqueflora                           ...............2rr.......1.......
Epipactis palustris                               ...............+.........+.......
Euphrasia officinalis ssp. rostkoviana            ...............+..++++1..++......
Parnassia palustris                               ...............1r+.......++......
Pinguicula vulgaris                               ...............1.........+.......
Primula farinosa                                  ...............r.........r.......
Ranunculus montanus s.str.                        ...............++1+.+++..1+.....+
Tofieldia calyculata                              ...............+.........+.......
Triglochin palustre                               ...............++r..............r
Carex hirta                                       ................r....++..........
Carex sylvatica ssp. sylvatica                    ................+..+++1..........
Deschampsia cespitosa                             ................+................
Tussilago farfara                                 ................1..+.............
Lythrum salicaria                                 .................r.......+1.....r
Crepis mollis s.lat.                              ..................r..............
Leucanthemum ircutianum                           ..................1...r....r.....
Linum catharticum                                 ..................+.+....r.......
Luzula campestris s.str.                          ..................r+r............
Aposeris foetida                                  ...................+.............
Astrantia major                                   ...................1.r...........
Blechnum spicant                                  ...................r.............
Campanula patula ssp. patula                      ...................r.............
Carex pilulifera ssp. pilulifera                  ...................1.............
Equisetum sylvaticum                              ...................+...........1.
Galium album s.str.                               ...................+r+...........
Hieracium lachenalii                              ...................+.............
Hieracium umbellatum                              ...................+.............
Holcus mollis                                     ...................+...........2.
Knautia arvensis ssp. arvensis                    ...................1.............
Luzula sylvatica ssp. sylvatica                   ...................r.............
Nardus stricta                                    ...................+.............
Picea abies                                       ...................r.............
Rubus sect. Rubus                                 ...................r...........4.
Trifolium medium ssp. medium                      ...................+.........r...
Vaccinium myrtillus                               ...................r.............
Equisetum arvense                                 ....................r.r..rr......
Tragopogon orientalis                             ....................r.rrr........
Veronica arvensis                                 .......................+.........
Elytrigia repens                                  ........................r........
Fraxinus excelsior                                .........................r.......
Molinia caerulea s.str.                           .........................1.......
Carex brizoides                                   .............................15..
Agrostis gigantea                                 ..............................+..
Athyrium filix-femina                             ...............................3.
Dryopteris dilatata                               ...............................+.
Dryopteris filix-mas s.str.                       ...............................+.
Galeopsis sp.                                     ...............................r.
Rubus idaeus                                      ...............................r.
Sambucus racemosa                                 ...............................+.
Urtica dioica ssp. dioica                         ...............................+.
Mentha aquatica                                   ................................1
END TABLE
