BEGIN HEAD
plot                                               ssssssssssssssssss
Solidago virgaurea ssp. virgaurea                  ..++.......r.rr+r.
Tofieldia calyculata                               ..r.....rr1.r.....
Vicia cracca s.str.                                ..rr++.+..........
Alnus incana                                       ...r....+.........
Angelica sylvestris ssp. sylvestris                ...r....r.....r+..
Aposeris foetida                                   ...+........+.....
Epipactis palustris                                ...r..............
Euphrasia officinalis ssp. picta                   ...r..............
Gymnadenia conopsea ssp. conopsea                  ...r......r.......
Heracleum sphondylium ssp. sphondylium             ...r..............
Listera ovata                                      ...r..............
Melica nutans s.str.                               ...+....++.++11111
Petasites paradoxus                                ...1....2+.r......
Rubus saxatilis                                    ...r.....2+1211+1+
Salix caprea                                       ...r.r............
Arabis hirsuta s.str.                              ....rr.r..........
Arenaria serpyllifolia s.str.                      ....rr+r..........
Cerastium arvense ssp. arvense                     ....r.............
Echium vulgare ssp. vulgare                        ....r.1...........
Erigeron annuus s.lat.                             ....r+r2..........
Euphorbia cyparissias                              ....+.2..rr..+++++
Festuca stricta ssp. sulcata                       ....122r..........
Filipendula vulgaris                               ....1.r...........
Hieracium piloselloides s.str.                     ....rr.+1.........
Knautia arvensis ssp. arvensis                     ....+r.+..........
Melilotus albus                                    ....+.............
Salvia verticillata                                ....r.............
Thymus pulegioides ssp. pulegioides                ....1112..........
Veronica chamaedrys ssp. chamaedrys                ....++............
Veronica orchidea                                  ....1+............
Agrimonia eupatoria                                .....+............
Anchusa officinalis                                .....r............
Calamagrostis epigejos                             .....r............
Clematis vitalba                                   .....r..+..r......
Erigeron canadensis                                .....+............
Hieracium pilosella                                .....+.+..........
Medicago lupulina                                  .....+.+.r........
Oenothera biennis agg.                             .....+............
Reseda lutea ssp. lutea                            .....+............
Salix purpurea                                     .....+............
Sonchus asper ssp. asper                           .....++r..........
Allium oleraceum                                   ......1...........
Fragaria vesca                                     ......+.+...++++++
Hieracium murorum                                  ......rr..........
Leucanthemum vulgare s.str.                        ......r...........
Rosa canina s.str.                                 ......r..........r
Cerastium holosteoides                             .......r..........
Euphrasia officinalis ssp. rostkoviana             .......r..........
Hypochaeris radicata                               .......+..........
Leucanthemum ircutianum                            .......+..........
Poa pratensis                                      .......+..........
Rumex acetosa                                      .......r..........
Trifolium dubium s.str.                            .......+..........
Veronica arvensis                                  .......r..........
Aquilegia atrata                                   ........r.........
Chlorocrepis staticifolia                          ........2r........
Convallaria majalis ssp. majalis                   ........+1..+.....
Deschampsia cespitosa                              ........+........+
Epipactis atrorubens                               ........rr+rr+rrrr
Eupatorium cannabinum                              ........+r.....r.r
Frangula alnus                                     ........+1+11+1111
Globularia cordifolia s.str.                       ........r.+.......
Leontodon hispidus ssp. hyoseroides                ........r.+.......
Leontodon incanus                                  ........r.1.......
Pinus sylvestris                                   ........1++r..+...
Polygonatum odoratum                               ........r+r.r.1..+
Potentilla anserina                                ........+.........
Rosa pendulina                                     ........rr........
Solanum dulcamara                                  ........r.........
Amelanchier ovalis                                 .........+.r......
Anthericum ramosum                                 .........r+.r.....
Bellidiastrum michelii                             .........r+.......
Berberis vulgaris                                  .........+r+++..+.
Betonica alopecuros                                .........r.r1r....
Biscutella laevigata ssp. laevigata                .........++.......
Campanula cochleariifolia                          .........rr.......
Centaurea scabiosa ssp. scabiosa                   .........+........
Cornus sanguinea s.lat.                            .........r......r.
Corylus avellana                                   .........1r.++++rr
Daphne mezereum                                    .........r.r+r.rr+
Dryas octopetala                                   .........r1.......
Euphrasia salisburgensis s.str.                    .........r+.......
Globularia nudicaulis                              .........r........
Gymnocarpium robertianum                           .........1r+++1+..
Helianthemum nummularium ssp. glabrum              .........r........
Helleborus niger                                   .........2r+1+212+
Hepatica nobilis                                   .........+.r2211++
Hieracium glaucum                                  .........r+.......
Hippocrepis comosa                                 .........r........
Juniperus communis ssp. communis                   .........1r.r.....
Knautia maxima ssp. maxima                         .........+..++.++.
Laserpitium latifolium ssp. latifolium             .........1.......r
Ligustrum vulgare                                  .........1.+++1...
Lonicera xylosteum                                 .........+.+.r...r
Melampyrum sylvaticum s.str.                       .........+..+++11+
Neottia nidus-avis                                 .........r.1....r.
Picea abies                                        .........+.+++++++
Polygala chamaebuxus                               .........111221112
Rhamnus cathartica                                 .........+........
Rhinanthus glacialis                               .........r2.......
Rhododendron hirsutum                              .........r..r.....
Salix appendiculata s.str.                         .........r........
Salix eleagnos ssp. eleagnos                       .........++.......
Salvia glutinosa                                   .........r.+1r222+
Sorbus aria s.str.                                 .........+r+1+++++
Sorbus aucuparia ssp. aucuparia                    .........+r++.+++.
Teucrium chamaedrys ssp. chamaedrys                .........1+.+11..2
Thesium alpinum                                    .........r+.......
Thymus praecox ssp. polytrichus                    .........r+.......
Valeriana montana                                  .........r...1....
Valeriana saxatilis                                .........r+.......
Viburnum lantana                                   .........+.+++....
Viburnum opulus                                    .........+.++..+..
Viola collina                                      .........r+rrr++..
Achnatherum calamagrostis                          ..........r.......
Carex humilis                                      ..........2.......
Carex mucronata                                    ..........1.......
Cephalanthera rubra                                ..........rrr1+1rr
Orobanche teucrii                                  ..........r.......
Phyteuma orbiculare s.str.                         ..........+.......
Quercus robur                                      ..........+++r....
Teucrium montanum                                  ..........2.......
Abies alba                                         ...........r....r.
Adenostyles alpina                                 ...........r..r+1.
Brachypodium sylvaticum                            ...........+++.+++
Campanula rotundifolia s.str.                      ...........r.+...r
Carex digitata                                     ...........r......
Dryopteris filix-mas s.str.                        ...........r.r..r.
Epipactis helleborine s.lat.                       ...........r.+++r+
Galeobdolon flavidum                               ...........++.....
Goodyera repens                                    ...........+......
Juglans regia                                      ...........r......
Lactuca muralis                                    ...........++.....
Lilium martagon                                    ...........r......
Oxalis acetosella                                  ...........++++.++
Paris quadrifolia                                  ...........rrrr1+r
Rubus sect. Rubus                                  ...........+r..+.+
Valeriana tripteris                                ...........+1+12++
Vinca minor                                        ...........+......
Viola reichenbachiana                              ...........+++.++.
Cephalanthera longifolia                           ............r1++rr
Maianthemum bifolium                               ............11+211
Mercurialis perennis s.str.                        ............+++1+.
Platanthera bifolia                                ............r+.rrr
Polygonatum verticillatum                          ............+rr.rr
Prenanthes purpurea                                ............+..++.
Vaccinium vitis-idaea                              ............+.++r.
Vincetoxicum hirundinaria                          ............r2..r+
Campanula trachelium                               .............r....
Crataegus monogyna                                 .............r....
Clinopodium vulgare ssp. vulgare                   ..............+...
Fagus sylvatica                                    ..............r...
Galium pumilum                                     ..............r..r
Vaccinium myrtillus                                ..............++++
Cirsium oleraceum                                  ...............r..
Pteridium aquilinum                                ...............1r+
Senecio ovatus ssp. ovatus                         ...............r..
Aconitum lycoctonum ssp. vulparia                  ................1.
Malus sylvestris                                   ................r.
Polygonatum multiflorum                            .................r
Prunus spinosa                                     .................r
Rhamnus saxatilis ssp. saxatilis                   .................r
Acer pseudoplatanus                             sl ........++.++.....
Alnus incana                                       ........1.........
Betula pendula                                     ........2r...+....
Buddleja davidii                                   ........2.........
Pinus sylvestris                                   ........222r+.1r..
Rosa pendulina                                     ........r.........
Salix appendiculata s.str.                         ........1.........
Salix eleagnos ssp. eleagnos                       ........11+.......
Salix purpurea                                     ........+.........
Amelanchier ovalis                                 .........+........
Berberis vulgaris                                  .........+.r++..r.
Corylus avellana                                   .........+..r.+...
Frangula alnus                                     .........2.2223222
Fraxinus excelsior                                 .........+....r.rr
Juniperus communis ssp. communis                   .........1........
Ligustrum vulgare                                  .........1.+..+...
Picea abies                                        .........1.2+12111
Sorbus aria s.str.                                 .........+.11.1++.
Viburnum lantana                                   .........1.+r.....
Fagus sylvatica                                    ...............+..
Picea abies                                    tl1 .........2..242...
Pinus sylvestris                                   .........1.4222334
Larix decidua                                      ............2.....
Acer pseudoplatanus                            tl2 .........+........
Fraxinus excelsior                                 .........1........
Picea abies                                        .........1.1122221
Pinus sylvestris                                   .........22221.1..
Betula pendula                                     ...........+......
Sorbus aria s.str.                                 ............11....
Fagus sylvatica                                    ...............++.
Frangula alnus                                     ...............+..
END TABLE
