BEGIN HEAD
plot                                              sssssssssssssssssssssssss
Rhinanthus alectorolophus ssp. alectorolophus     .2++r23+++...11+.rr222322
Rhinanthus serotinus s.str.                       .r.......................
Agrostis capillaris                               ..+++++.........+++...222
Angelica sylvestris ssp. sylvestris               ..+.+.+11+...++++rr+..rr.
Carex flava var. flava                            ..rr...rrr...............
Carex ornithopoda ssp. ornithopoda                ..+r+.r+++...222+++1+++++
Deschampsia cespitosa                             ..+1+.r+++......111......
Galium verum s.str.                               ..rr...............+++...
Hypericum maculatum s.str.                        ..r......................
Knautia arvensis ssp. arvensis                    ..++.....r.++1+++rr.r....
Leontodon hispidus ssp. hispidus                  ..rr.....................
Linum catharticum                                 ..r....rr....+++++r12+.+r
Lysimachia vulgaris                               ..+r+++++r........r...rrr
Lythrum salicaria                                 ..+1.....................
Medicago lupulina                                 ..rr..r..r++r+++.+r++r.rr
Molinia caerulea agg.                             ..22++1111.++333222334111
Origanum vulgare ssp. vulgare                     ..+++++++++++111211+1+111
Quercus robur                                     ..rr.....rr..rrrrrr+++.rr
Ranunculus nemorosus                              ..+r...++r+++++++++111222
Sanguisorba minor ssp. minor                      ..r......................
Trifolium pratense ssp. pratense                  ..++...r.r........r++r++r
Trisetum flavescens ssp. flavescens               ..11..+..................
Viola hirta                                       ..rrr..+++...++r......+..
Campanula patula ssp. patula                      ...r.....................
Carex acutiformis                                 ...r.....................
Carex caryophyllea                                ...r..r.++...112221121112
Carex distans                                     ...+.....................
Daucus carota ssp. carota                         ...r...rrr++r+++++++rr+rr
Equisetum arvense                                 ...r......r..............
Festuca pratensis s.str.                          ...+.....................
Lysimachia nummularia                             ...r.........++r.........
Agrostis gigantea                                 ....+2r11r+1r221+++11++++
Cirsium oleraceum                                 ....r+1++r......+++...r..
Colchicum autumnale                               ....+..+r+...rr.......r..
Cornus sanguinea ssp. sanguinea                   ....r..r+r.r.....+r+rr+++
Euonymus europaeus                                ....r.r..............rr..
Mentha longifolia                                 ....+....................
Vicia sepium                                      ....1....................
Achillea millefolium agg.                         .....+r++r.rr+++rrr+.r++r
Centaurea jacea ssp. jacea                        .....rr...rr.++++rr.rr+++
Cerastium lucorum                                 .....r...................
Erigeron annuus ssp. annuus                       .....11++r21+.rr11r.rr++r
Heracleum sphondylium ssp. sphondylium            .....+...................
Poa nemoralis                                     .....r...................
Primula elatior s.str.                            .....rr..................
Solidago gigantea ssp. serotina                   .....rr+++344rr.rrr......
Verbascum nigrum                                  .....rr...rr.r...........
Calamagrostis epigejos                            ......r...+11...122...+rr
Hypericum perforatum                              ......r...rrrrrr....r....
Prunella vulgaris                                 ......+........r+++...111
Anemone nemorosa                                  .......+++++.2+2..r......
Carex muricata agg.                               .......r.................
Cirsium arvense                                   .......rrr+.+............
Clematis vitalba                                  .......++..rr...++1...+..
Euphorbia cyparissias                             .......rr.rrr+++.........
Pimpinella major var. major                       .......++r...r.r.........
Salix purpurea                                    .......rrr...............
Solidago canadensis                               .......111111.......r.r..
Mentha × verticillata s.str.                      ........rr.......++......
Betula pendula                                    ..........r.....+........
Cirsium vulgare                                   ..........rr.............
Erigeron canadensis                               ..........rrr..r.........
Glechoma hederacea                                ..........+++...+++..r...
Humulus lupulus                                   ..........rr.............
Oenothera biennis agg.                            ..........+r.............
Centaurium erythraea ssp. erythraea               ...........r..+..+..r....
Sonchus asper ssp. asper                          ...........r.............
Ulmus glabra                                      ............r............
Alnus glutinosa                                   .............rr..........
Euphorbia stricta                                 .............r...........
Hieracium piloselloides s.str.                    .............+rr+r.......
Medicago falcata                                  .............rrr......111
Orchis militaris                                  .............rrr...rrrrrr
Salix caprea                                      .............rrrr........
Scabiosa columbaria s.str.                        .............+++111122111
Thymus pulegioides ssp. pulegioides               .............rrr+11111222
Equisetum hyemale                                 ..............rr.........
Salix alba                                        ..............rr.........
Carex pallescens                                  ...............r.........
Crataegus monogyna                                ................rrrrrr.rr
Eupatorium cannabinum                             ................++r......
Hypericum hirsutum                                ................r........
Viburnum opulus                                   .................r.r.r+rr
Asarum europaeum ssp. europaeum                   ..................r......
Bromus erectus                                    ...................++....
Dactylorhiza maculata s.lat.                      ...................+++...
Euphorbia verrucosa                               ...................212+rr
Medicago sativa s.lat.                            ...................++....
Salix myrsinifolia ssp. myrsinifolia              ...................rr....
Corylus avellana                                  ....................rr...
Prunus domestica ssp. domestica                   ....................rr...
Selaginella helvetica                             .....................r...
Campanula rotundifolia s.str.                     ......................rrr
Carex tomentosa                                   ......................++1
Orobanche gracilis                                ......................r..
Trifolium dubium s.str.                           ......................+.r
END TABLE
