BEGIN HEAD
plot                                        zzzzzzzzzzzzzzzzzz
Phyteuma spicatum ssp. spicatum             ...........+......
Ribes nigrum                                ...........+......
Scrophularia nodosa                         ...........+......
Senecio nemorensis ssp. glabratus           ...........r......
Urtica dioica ssp. dioica                   ...........+......
Aconitum variegatum s.lat.                  ............+.....
Knautia maxima ssp. maxima                  ............++.r..
Laserpitium latifolium ssp. latifolium      ............rr....
Leontodon incanus                           ............r.....
Pimpinella major var. major                 ............r.....
Pimpinella saxifraga ssp. saxifraga         ............+.....
Ranunculus nemorosus                        ............r.....
Sesleria caerulea s.str.                    ............+3+...
Biscutella laevigata ssp. laevigata         .............r.1..
Euphrasia salisburgensis s.str.             .............r++..
Vicia cracca s.str.                         .............r....
Thymus praecox ssp. polytrichus             ...............+..
Homogyne alpina                             ................r.
END TABLE
