BEGIN HEAD
plot                                               kkkkkkkkkkkkkkkkkkkkkkkkkk
Salix appendiculata s.str.                         ..1111....................
Taxus baccata                                      ..11...1.1.......+..r.+++.
Amelanchier ovalis                                 ...2.2..........+.........
Corylus avellana                                   ...2.2.21112+..12..2++....
Sorbus aria s.str.                                 ...2......1.2...1......+.+
Clematis vitalba                                   ....1++2+...+......+...+..
Ligustrum vulgare                                  ....+.+..+11+.......++1++.
Viburnum lantana                                   ....2.++.+121.........++..
Frangula alnus                                     .....2....................
Pinus sylvestris                                   .....2....................
Acer platanoides                                   ......+++...11.....111.+.+
Carpinus betulus                                   ......11++11.......11..11+
Crataegus monogyna                                 ......++.........+.....+++
Quercus × rosacea                                  ......1...................
Tilia × vulgaris (=T. cordata × platyphyllos)      ......1................2..
Tilia cordata                                      ......1.......+.....+1..+.
Ulmus glabra                                       ......11......+....++..+.+
Ulmus minor ssp. minor                             ......+...................
Cornus mas                                         .......2...r..............
Euonymus europaeus                                 .......1+..........r+...+.
Juglans regia                                      .......+2...+......+..++++
Tilia platyphyllos                                 .......2+.1..1+....111....
Prunus avium s.lat.                                ........r...........+.....
Berberis vulgaris                                  .........+............r...
Crataegus laevigata ssp. laevigata                 .........1.+1....++.r..1++
Rosa arvensis                                      .........++...............
Sorbus aucuparia ssp. aucuparia                    .........+........+.......
Laburnum anagyroides                               ..........22..............
Quercus petraea s.lat.                             ..........1+..............
Daphne mezereum                                    ............+...+.........
Lonicera alpigena                                  ............1....+........
Lonicera xylosteum                                 ............1...+.+.r.+.+.
Rosa pendulina                                     ............+.............
Sambucus nigra                                     .............22+..........
Viburnum opulus                                    ..................+.......
Cotoneaster divaricatus                            ...................r......
Prunus padus ssp. padus                            ....................+.....
Hedera helix                                       .......................+..
Asplenium ruta-muraria                          hl ++++....r.r....r...rr++++.
Berberis vulgaris                                  +1.........+....+......r.+
Betula pendula                                     +....+....................
Brachypodium pinnatum s.str.                       22..............+......r..
Brachypodium sylvaticum                            1+.....++.+++...+..+++.2++
Buphthalmum salicifolium                           +.++++....................
Calamagrostis varia                                211...121221....212+1+1+1.
Campanula rapunculoides ssp. rapunculoides         ++....+1.++++..++.r.r.r++.
Carex digitata                                     +..++.1++.+1+....+.+++++++
Carex ornithopoda ssp. ornithopoda                 2.1+++....r+.....r...rr...
Carpinus betulus                                   +......+++++.......+++++++
Cervaria rivini                                    r.........................
Clematis vitalba                                   +1r.1+11+...+.++++.+++.1++
Convolvulus arvensis                               +.........................
Cornus sanguinea s.lat.                            +++++.++.++1+...+++..+..+.
Euonymus latifolius                                +...........r.............
Euphorbia cyparissias                              +...............+.........
Euphorbia dulcis ssp. dulcis                       +.+.+..++++.+....+++++.+.+
Fagus sylvatica                                    r.++....2+1++++++1221+....
Fraxinus excelsior                                 22+++1.+1+1.11.1+++++++++.
Galium album s.str.                                11..................r.....
Hedera helix                                       ++....111+11+.++.1.++++1++
Hypericum maculatum s.str.                         +.........................
Ligustrum vulgare                                  22+.+.1.r1+++......+++++1+
Lonicera xylosteum                                 +.r...++....+...++..+++.+.
Malus sylvestris                                   +......r..................
Medicago lupulina                                  r.........................
Melica nutans s.str.                               ++11+.++.++.+...+++r+1++++
Origanum vulgare ssp. vulgare                      21.......+..........r..r+.
Poa compressa                                      +.........................
Polygonatum odoratum                               ++11...+..r+.............r
Potentilla caulescens ssp. caulescens              +.r+2+....................
Potentilla supina                                  +.........................
Rosa canina s.str.                                 1.........................
Rosa corymbifera                                   1.........................
Teucrium chamaedrys ssp. chamaedrys                +.12.2....................
Teucrium montanum                                  +.........................
Tilia platyphyllos                                 21.....1+.+++++....+1+....
Ulmus minor ssp. minor                             11.....+..................
Veronica teucrium                                  +.........................
Viburnum lantana                                   22+.1..1.++.+.....+.r..++r
Viola hirta                                        +.++1.....................
Allium carinatum                                   .+.....................r..
Arabis hirsuta s.str.                              .2........................
Asperula cynanchica                                .r........................
Asplenium trichomanes ssp. quadrivalens            .r........r..++...........
Carex alba                                         .2321+133.343...1433322322
Clinopodium foliosum                               .1.....................r+.
Cotoneaster divaricatus                            .1................r.......
Cotoneaster integerrimus                           .1....+..r.r...........r..
Crataegus monogyna                                 .+r....+..........r....+++
Euonymus europaeus                                 .2.....1...+........1..+++
Euphrasia salisburgensis s.str.                    .r........................
Hepatica nobilis                                   .+1+..++111+2...+2111+++++
Hylotelephium maximum                              .+.....................1..
Hypericum perforatum                               .1........................
Prunus spinosa                                     .2......r.................
Rhamnus cathartica                                 .++1++.2rr1+....1+.+r++++r
Rosa arvensis                                      .2+...1+.21++....r1+++.211
Rubus sect. Rubus                                  .1+.....1...+.....+++..1.+
Securigera varia                                   .2.....................r..
Silene nutans ssp. nutans                          .1+.......................
Stachys recta ssp. recta                           .1........................
Vincetoxicum hirundinaria                          .121.2211+111...2..+++r111
Acer pseudoplatanus                                ..1...+++++.1++.+11+11++++
Amelanchier ovalis                                 ..1131.....r..............
Aposeris foetida                                   ..+......+..++.r+1+++.+...
Cardamine enneaphyllos                             ..+.........+.............
Carex flacca ssp. flacca                           ..2.+......++...422.+.....
Carex montana                                      ..2...+..42+.....11..+++++
Cephalanthera longifolia                           ..r......+r+.....rr.......
Convallaria majalis ssp. majalis                   ..+.+...+1+.+....++++++.r+
Corylus avellana                                   ..++.+.+.++++..+...++..+..
Cotoneaster tomentosus                             ..1................r......
Cyclamen purpurascens                              ..+++.+1111+++++1111+1++++
Daphne mezereum                                    ..+....+....+..+++........
Epipactis atrorubens                               ..r.........r...r.........
Epipactis helleborine s.lat.                       ..r....................+r.
Erica carnea                                       ..2422....................
Eupatorium cannabinum                              ..r............++.........
Euphorbia amygdaloides ssp. amygdaloides           ..+.....+++.+..++++.+..+++
Festuca amethystina ssp. amethystina               ..+.1.....................
Frangula alnus                                     ..+..+....................
Galium boreale s.str.                              ..2.......................
Galium sylvaticum s.str.                           ..2......1..1..++++r++..r.
Genista tinctoria                                  ..rr......................
Hieracium murorum                                  ..+..............++.....+.
Hypericum montanum                                 ..r.......................
Lactuca muralis                                    ..+..........+...+....+.r.
Melampyrum sylvaticum s.str.                       ..+.......1.......+.......
Mercurialis perennis s.str.                        ..+....+.+..++++.+r..++..+
Molinia caerulea s.str.                            ..+112....................
Picea abies                                        ..+..+......+.............
Polygala chamaebuxus                               ..2222......+....r+.......
Prenanthes purpurea                                ..r.....+++.+...+r++r..1..
Quercus robur                                      ..+..r.++.++.....r++.++.++
Rosa pendulina                                     ..r.........+.....1.......
Salvia glutinosa                                   ..+....+r.++1+++.+.rr+r++.
Sesleria caerulea s.str.                           ..1222+...+r....++2.......
Sorbus aria s.str.                                 ..+1...+.+1+1...+.+....+..
Taxus baccata                                      ..+1...+++r.+....rrr+.++..
Verbascum thapsus s.str.                           ..r.......................
Hieracium bifidum                                  ...+.+....+........r..r...
Kernera saxatilis                                  ...++r....................
Laserpitium siler ssp. siler                       ...221....................
Leontodon hispidus s.lat.                          ...+......................
Salix appendiculata s.str.                         ...++.....................
Tilia cordata                                      ...+......+..+......++..++
Vaccinium vitis-idaea                              ...+......................
Leontodon incanus                                  ....+1....................
Cotoneaster horizontalis                           .....+..................r.
Gypsophila repens                                  .....r....................
Rhododendron hirsutum                              .....1..........r.........
Solidago virgaurea ssp. virgaurea                  .....+r.....r....r+.+r.+++
Acer platanoides                                   ......+++++.++1...++1++..+
Campanula trachelium                               ......++++.+r+1.......++++
Cephalanthera damasonium                           ......r..r.r.......r....r.
Galeopsis sp.                                      ......r.r.................
Stachys sylvatica                                  ......+...................
Ulmus glabra                                       ......+.....r.+....++..+.+
Laserpitium latifolium ssp. latifolium             .......r.r.+..........r...
Lilium martagon                                    .......+r++.+..+.+...+.+..
Viola alba s.lat.                                  .......+.r+...........rr++
Anemone nemorosa                                   ........1+.......+1+1.....
Juglans regia                                      ........1++.....r..+.+.+++
Polygonatum multiflorum                            ........+.+.+..+..r.++.r..
Viola riviniana                                    ........++..+....+++++++++
Anthericum ramosum                                 .........r+...............
Festuca heterophylla                               .........+........+rr..++.
Hieracium sabaudum                                 .........r.............rr.
Lathyrus niger                                     .........+................
Quercus × rosacea                                  .........+............+...
Sorbus aucuparia ssp. aucuparia                    .........+........+.......
Tilia × vulgaris (=T. cordata × platyphyllos)      .........+..+..........+++
Viola reichenbachiana                              .........+++++...+.++....+
Allium oleraceum                                   ..........+...............
Campanula persicifolia                             ..........++r....r........
Crataegus laevigata ssp. laevigata                 ..........+++.....+....+..
Laburnum anagyroides                               ..........+1..............
Melampyrum pratense                                ..........1...............
Quercus petraea s.lat.                             ..........+.............+.
Fragaria vesca                                     ...........+......+.......
Aconitum lycoctonum ssp. vulparia                  ............2+.r..........
Aegopodium podagraria                              ............r....r........
Ajuga reptans                                      ............+.....r.......
Aruncus dioicus                                    ............+.............
Dryopteris filix-mas s.str.                        ............++++..........
Gymnocarpium robertianum                           ............+..++.........
Knautia maxima ssp. maxima                         ............+...+.........
Lonicera alpigena                                  ............+...+1r.......
Molinia caerulea agg.                              ............1....+1.......
Paris quadrifolia                                  ............+..+..........
Phyteuma spicatum                                  ............++...++.+.+...
Polystichum aculeatum s.str.                       ............++++..........
Polystichum lonchitis                              ............r..r..........
Primula elatior s.str.                             ............+.............
Pteridium aquilinum                                ............+.............
Ranunculus nemorosus                               ............+...+.........
Staphylea pinnata                                  ............+.............
Valeriana tripteris                                ............+....rr.......
Veronica urticifolia                               ............++++..........
Viburnum opulus                                    ............+.....+.......
Actaea spicata                                     .............+............
Alliaria petiolata                                 .............+1...........
Asplenium scolopendrium ssp. scolopendrium         .............12...........
Asplenium viride                                   .............++r..........
Athyrium filix-femina                              .............+............
Circaea lutetiana ssp. lutetiana                   .............+............
Cystopteris fragilis s.str.                        .............r+...........
Dryopteris affinis agg.                            .............+............
Epilobium montanum                                 .............r.+..........
Galeobdolon montanum                               .............23.....r.....
Geranium robertianum s.str.                        .............+1........+..
Impatiens parviflora                               .............r+...........
Rubus idaeus                                       .............++....+......
Sambucus nigra                                     .............11+.r........
Arabis alpina ssp. alpina                          ..............r...........
Cardamine impatiens                                ..............+...........
Chelidonium majus                                  ..............+...........
Chrysosplenium alternifolium                       ..............+...........
Lapsana communis ssp. communis                     ..............+...........
Poa nemoralis                                      ..............+........+..
Symphytum tuberosum s.lat.                         ..............+...+.......
Urtica dioica ssp. dioica                          ..............1...........
Aquilegia atrata                                   ...............r+.........
Galeobdolon flavidum                               ...............+..........
Geum urbanum                                       ...............r...r...r..
Moehringia muscosa                                 ...............r..........
Taraxacum sect. Ruderalia                          ...............r..+.......
Valeriana montana                                  ...............r+.........
Veronica chamaedrys ssp. micans                    ...............+..........
Campanula cochleariifolia                          ................+.........
Phyteuma orbiculare s.str.                         ................+.........
Cephalanthera rubra                                .................rr.......
Lathyrus vernus                                    .................r........
Populus tremula                                    .................+........
Vaccinium myrtillus                                ..................r.......
Prunus avium s.lat.                                ...................r.....+
Viola collina                                      ...................r......
Allium vineale                                     ....................r.....
Carex sylvatica ssp. sylvatica                     ....................r.....
Prunus padus ssp. padus                            ....................+.....
Bromus benekenii                                   .......................+..
Galium mollugo s.str.                              ........................r.
Tortella tortuosa                               ml .....1....................
END TABLE
