BEGIN HEAD
plot                                               iiiiiiiiiiiiiiii
Knautia arvensis ssp. arvensis                     1.+11+++1++1....
Lathyrus pratensis ssp. pratensis                  +...++...+...+..
Leontodon hispidus s.lat.                          +2...1...+.+...+
Linum catharticum                                  +.+.....+.......
Lotus corniculatus s.str.                          +21+11..+++....+
Medicago falcata                                   2.11.22++......+
Ononis spinosa ssp. spinosa                        122+2...........
Origanum vulgare ssp. vulgare                      2.22.+++...2....
Pimpinella major var. major                        +.........+.....
Pimpinella saxifraga ssp. saxifraga                +....+..r....+.+
Poa pratensis                                      +.11.+..+1.1...1
Ranunculus nemorosus                               +....+...+.....+
Rhinanthus alectorolophus ssp. alectorolophus      12+.......+.....
Rhinanthus minor                                   +...............
Salvia pratensis ssp. pratensis                    +2.1.+...++2.+.2
Sanguisorba minor ssp. minor                       +....+...1+.....
Securigera varia                                   2..1.......1...+
Taraxacum sect. Ruderalia                          ++......++..r.r+
Thesium bavarum                                    1+..............
Thymus pulegioides ssp. pulegioides                +....2...+r1.+..
Trifolium medium ssp. medium                       +..2..+...+.....
Trifolium pratense ssp. pratense                   22......1+.+...+
Veronica chamaedrys ssp. chamaedrys                +.......++++.+.+
Veronica teucrium                                  1..2.........r.+
Vicia cracca s.str.                                ++..++....+.....
Viola hirta                                        2.++.+.......+..
Daucus carota ssp. carota                          .1...1...+.+....
Leucanthemum ircutianum                            .+..............
Medicago lupulina                                  .+.......+...+..
Plantago lanceolata                                .++.+...1++..+.+
Prunella vulgaris                                  .+.......+......
Brachypodium sylvaticum                            ..+.........+...
Carex pilulifera ssp. pilulifera                   ..+....11.......
Convolvulus arvensis                               ..2...+....+....
Equisetum arvense                                  ..+.+...........
Festuca pratensis s.str.                           ..+.1+...2+.....
Filipendula ulmaria                                ..+.............
Galium boreale s.str.                              ..r.+.........+.
Lysimachia vulgaris                                ..+.............
Peucedanum oreoselinum                             ..21..22r......+
Phleum pratense s.str.                             ..+.............
Poa angustifolia                                   ..r2.1+2+112.2.2
Silene vulgaris ssp. vulgaris                      ..++.+.1+......+
Cirsium arvense                                    ...r..+.........
Crataegus monogyna                                 ...+...r....+.+.
Galeopsis sp.                                      ...+............
Helianthemum nummularium ssp. obscurum             ...+...........+
Quercus robur                                      ...+..++......+.
Anthoxanthum odoratum s.str.                       ....1.+.111+.+.+
Calamagrostis epigejos                             ....++.+........
Carex hostiana                                     ....1...........
Cirsium oleraceum                                  ....+...........
Colchicum autumnale                                ....+...........
Dianthus superbus ssp. superbus                    ....+...........
Equisetum palustre                                 ....1...........
Fagus sylvatica                                    ....r.........2.
Gymnadenia conopsea ssp. conopsea                  ....r...........
Holcus lanatus                                     ....1...........
Juncus inflexus                                    ....r...........
Molinia caerulea agg.                              ....3.+..1+.....
Populus tremula                                    ....+...........
Potentilla erecta                                  ....+...........
Ranunculus acris ssp. acris                        ....+...+++..+..
Sanguisorba officinalis                            ....1...........
Scabiosa columbaria s.str.                         ....+1.....1.+..
Succisa pratensis                                  ....1...........
Cerastium arvense ssp. arvense                     .....+..+.+..2..
Hypericum perforatum                               .....+.+..++....
Leucanthemum vulgare s.str.                        .....+..........
Rosa canina s.str.                                 .....+..........
Rosa corymbifera                                   .....2..........
Senecio jacobaea                                   .....+.r........
Acer pseudoplatanus                                ......+.....1.1.
Agrimonia procera                                  ......r.........
Agrostis gigantea                                  ......1.........
Carex digitata                                     ......+.....+.1.
Clematis vitalba                                   ......+....++.r.
Elymus caninus                                     ......+.........
Elytrigia repens                                   ......+.........
Euonymus europaeus                                 ......1....r..+.
Eupatorium cannabinum                              ......+.........
Fragaria vesca                                     ......r....+..+.
Ligustrum vulgare                                  ......1.....+.+.
Lonicera xylosteum                                 ......++....+.+.
Ononis repens ssp. procurrens                      ......2...+....+
Rhamnus cathartica                                 ......+.........
Rubus sect. Rubus                                  ......1+........
Salix caprea                                       ......+.........
Silene nutans ssp. nutans                          ......+1.....1.+
Viburnum opulus                                    ......+.....+.+.
Arabidopsis thaliana                               .......r........
Arenaria serpyllifolia s.str.                      .......2.....+.2
Carex ornithopoda ssp. ornithopoda                 .......2.+2+....
Carex panicea                                      .......r........
Frangula alnus                                     .......r......+.
Lactuca serriola                                   .......r........
Myosotis arvensis ssp. arvensis                    .......r........
Pinus sylvestris                                   .......r........
Rubus idaeus                                       .......+........
Sonchus asper ssp. asper                           .......r........
Teucrium chamaedrys ssp. chamaedrys                .......r........
Bellis perennis                                    ........+....+..
Carex umbrosa ssp. umbrosa                         ........+.......
Cerastium holosteoides                             ........r......+
Onobrychis viciifolia s.str.                       ........r.......
Potentilla pusilla                                 ........+.......
Ranunculus bulbosus s.str.                         ........1..1.2..
Rumex acetosa                                      ........+.+..r..
Trisetum flavescens ssp. flavescens                ........212..+.+
Carex montana                                      .........+..212.
Crepis biennis                                     .........r.r....
Festuca arundinacea s.lat.                         .........1......
Festuca stricta ssp. trachyphylla                  .........+......
Luzula campestris s.str.                           .........+......
Rosa arvensis                                      .........1....1.
Aegopodium podagraria                              ..........1.....
Ajuga reptans                                      ..........+.r++.
Cornus sanguinea s.lat.                            ..........r.+.+.
Fraxinus excelsior                                 ..........+.....
Medicago falcata × varia                           ..........+....+
Pastinaca sativa ssp. sativa                       ..........+..+..
Polygala comosa                                    ..........r.....
Vicia sepium                                       ..........+.....
Arabis hirsuta s.str.                              ...........+.2..
Erigeron annuus s.lat.                             ...........1....
Oenothera biennis agg.                             ...........r....
Turritis glabra                                    ...........+....
Acer campestre                                     ............1...
Anemone nemorosa                                   ............2...
Aposeris foetida                                   ............r...
Bromus benekenii                                   ............+...
Carex alba                                         ............2...
Carpinus betulus                                   ............+...
Corylus avellana                                   ............+.+.
Cotoneaster horizontalis                           ............r...
Daphne mezereum                                    ............r...
Euphorbia dulcis                                   ............r...
Galeobdolon montanum                               ............r...
Galium odoratum                                    ............+...
Galium sylvaticum s.str.                           ............+...
Hedera helix                                       ............2...
Hepatica nobilis                                   ............2r1.
Hieracium murorum                                  ............1.+.
Lathyrus vernus                                    ............1...
Lilium martagon                                    ............1.+.
Melica nutans s.str.                               ............+.1.
Phyteuma spicatum ssp. spicatum                    ............+...
Poa nemoralis                                      ............+...
Polygonatum multiflorum                            ............1...
Prunus avium s.lat.                                ............+.1.
Sorbus aucuparia ssp. aucuparia                    ............+.+.
Ulmus glabra                                       ............+...
Viburnum lantana                                   ............+.+.
Viola riviniana                                    ............+.r.
Allium carinatum                                   .............+..
Carex polyphylla                                   .............r..
Clinopodium vulgare ssp. vulgare                   .............1..
Cruciata laevipes                                  .............+..
Potentilla sterilis                                .............2..
Abies alba                                         ..............+.
Actaea spicata                                     ..............r.
Berberis vulgaris                                  ..............r.
Calamagrostis varia                                ..............+.
Deschampsia cespitosa                              ..............r.
Festuca heterophylla                               ..............+.
Geum urbanum                                       ..............r.
Prunus padus ssp. padus                            ..............+.
Sambucus nigra                                     ..............+.
Solidago virgaurea ssp. virgaurea                  ..............r.
Tanacetum corymbosum ssp. corymbosum               ..............r.
Veronica officinalis                               ..............r.
Viola reichenbachiana                              ..............+.
Koeleria pyramidata var. pyramidata                ...............1
Trifolium montanum ssp. montanum                   ...............+
Veronica arvensis                                  ...............+
Polytrichum formosum                            ml ............+.1.
END TABLE
