BEGIN HEAD
plot                                              ssssssssssssssss
Leontodon hispidus ssp. hispidus                  .r..............
Linum catharticum                                 .r..rr..++++12.+
Lysimachia vulgaris                               .+++++........rr
Lythrum salicaria                                 .+..............
Medicago lupulina                                 .r....++++.+++.r
Molinia caerulea agg.                             .2++11.+33223311
Origanum vulgare ssp. vulgare                     .+++++++1121+111
Plantago lanceolata                               .r......++++rr++
Quercus robur                                     .r....r.rrrr++.r
Ranunculus nemorosus                              .+..++++++++1122
Rhinanthus alectorolophus ssp. alectorolophus     .+r2++..11.r2232
Sanguisorba minor ssp. minor                      .r..............
Trifolium pratense ssp. pratense                  .+..r.......++++
Trisetum flavescens ssp. flavescens               .1..............
Viola hirta                                       .rr.++..++....+.
Carex sylvatica ssp. sylvatica                    ..++++..........
Cirsium oleraceum                                 ..r+++....++..r.
Colchicum autumnale                               ..+.+r..rr....r.
Cornus sanguinea ssp. sanguinea                   ..r.r+.r...++r++
Euonymus europaeus                                ..r...........r.
Mentha longifolia                                 ..+.............
Vicia sepium                                      ..1.............
Achillea millefolium agg.                         ...+++.r++rr+.++
Astragalus glycyphyllos                           ...1....r1......
Centaurea jacea ssp. jacea                        ...r..rr+++r.r++
Cerastium lucorum                                 ...r............
Erigeron annuus ssp. annuus                       ...1++21.r11.r++
Heracleum sphondylium ssp. sphondylium            ...+............
Poa nemoralis                                     ...r............
Primula elatior s.str.                            ...r............
Solidago gigantea ssp. serotina                   ...r++34rrrr....
Verbascum nigrum                                  ...r..rrr.......
Anemone nemorosa                                  ....++++2+......
Carex muricata agg.                               ....r...........
Cirsium arvense                                   ....rr+.........
Clematis vitalba                                  ....++.r..++..+.
Daucus carota ssp. carota                         ....rr+++++++r+r
Euphorbia cyparissias                             ....rrrr++......
Phleum pratense s.str.                            ....++.+........
Pimpinella major var. major                       ....++..r.......
Salix purpurea                                    ....rr..........
Solidago canadensis                               ....1111.....rr.
Carex caryophyllea                                .....+..11221211
Mentha × verticillata s.str.                      .....r.....+....
Betula pendula                                    ......r...+.....
Calamagrostis epigejos                            ......+1..12..+r
Cirsium vulgare                                   ......rr........
Equisetum arvense                                 ......r.........
Erigeron canadensis                               ......rr........
Glechoma hederacea                                ......++..++....
Humulus lupulus                                   ......rr........
Hypericum perforatum                              ......rrrr...r..
Oenothera biennis agg.                            ......+r........
Centaurium erythraea ssp. erythraea               .......r.+.+.r..
Sonchus asper ssp. asper                          .......r........
Alnus glutinosa                                   ........rr......
Euphorbia stricta                                 ........r.......
Hieracium piloselloides s.str.                    ........+r+r....
Lysimachia nummularia                             ........++......
Medicago falcata                                  ........rr....11
Orchis militaris                                  ........rr..rrrr
Salix caprea                                      ........rrr.....
Scabiosa columbaria s.str.                        ........++111211
Thymus pulegioides ssp. pulegioides               ........rr+11122
Equisetum hyemale                                 .........r......
Salix alba                                        .........r......
Crataegus monogyna                                ..........rrrr.r
Eupatorium cannabinum                             ..........++....
Hypericum hirsutum                                ..........r.....
Prunella vulgaris                                 ..........++..11
Viburnum opulus                                   ...........rr.+r
Bromus erectus                                    ............++..
Dactylorhiza maculata s.lat.                      ............++..
Euphorbia verrucosa                               ............21+r
Medicago sativa s.lat.                            ............++..
Salix myrsinifolia ssp. myrsinifolia              ............rr..
Corylus avellana                                  .............r..
Prunus domestica ssp. domestica                   .............r..
Campanula rotundifolia s.str.                     ..............rr
Carex tomentosa                                   ..............++
Orobanche gracilis                                ..............r.
Trifolium dubium s.str.                           ..............+.
END TABLE
