BEGIN HEAD
plot                             000000000111111111122222222223333
Cyperus fuscus                   .............................+...
Eleocharis palustris             .............................r...
Alisma lanceolatum               .............................r...
Juncus articulatus               .............................r...
Limosella aquatica               .............................r...
Myosotis scorpioides             .............................r...
Tripleurospermum inodorum        ..............................r..
Bromus inermis                   ..............................r..
Cucubalus baccifer               ..............................1..
Euphorbia stricta                ..............................r..
Silene latifolia                 ...............................r.
Trifolium pratense               ...............................r.
Verbascum phlomoides             ...............................+.
Daucus carota                    ...............................rr
Digitaria sanguinalis            ...............................r.
Echium vulgare                   ...............................+.
Eragrostis minor                 ...............................r.
Oenothera biennis                ...............................r.
Arctium lappa                    ...............................rr
Plantago lanceolata              ...............................r.
Setaria pumila                   ................................r
Achillea millefolium agg.        ................................r
Trifolium repens                 ................................r
Ulmus minor                      ................................r
Vicia angustifolia               ................................r
Chenopodium strictum s.str.      ................................r
Elymus athericus                 ................................r
Epilobium tetragonum             ................................r
Galinsoga parviflora             ................................r
Gnaphalium uliginosum            ................................r
Amaranthus retroflexus           ................................r
Leontodon autumnalis             ................................r
Mentha longifolia                ................................r
Polygonum aviculare              ................................r
Cornus sanguinea              sl r.2+.2...........................
Juglans regia                    +....+...........................
Acer negundo                     2.2.22.+.........................
Prunus padus                     r................................
Salix alba                       +................................
Sambucus nigra                   r.2.+2.++2.......................
Euonymus europaeus               ....r+...........................
Crataegus monogyna               .....+.........2.................
Acer campestre                   .....+...........................
Salix purpurea                   ......2...3...+..................
Ailanthus altissima              .......1.........................
Salix alba                   tl1 32.3222322333.24.................
Populus canadensis               .23..2...........................
Salix rubens                     .2...............................
Ulmus minor                      ..+..............................
Fraxinus excelsior               ..+.2............................
Populus canescens                ..2..2...........................
Salix fragilis                   ..1...2..........................
Populus alba                     ....2............................
Juglans nigra                    .....2...........................
Populus nigra                    .....2........2..................
Prunus padus                     ........2........................
Ulmus laevis                     ...........22.+..................
Acer negundo                 tl2 ..2.22..2......2.................
Alnus incana                     .....2...........................
Salix purpurea                   .............3...................
END TABLE
